ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB36662.1,KZ679269.1,hypothetical protein,2554,2836,-,MutS_III,PF05192.21,3.0e-11,6.9e-15,6.8e-11,3,191,224,499,222,499,6.0e-01
PTB36662.1,KZ679269.1,hypothetical protein,2554,2836,-,MutS_V,PF00488.24,8.4e-44,1.4e-47,1.4e-43,2,183,557,748,556,752,9.3e-01
PTB36664.1,KZ679269.1,hypothetical protein,4278,5852,+,Ion_trans,PF00520.34,1.4e-125,5.3e-48,1.0e-43,2,244,325,715,324,716,9.2e-01
PTB36664.1,KZ679269.1,hypothetical protein,4278,5852,+,Ion_trans,PF00520.34,1.4e-125,2.4e-29,4.6e-25,5,240,750,978,746,983,9.1e-01
PTB36664.1,KZ679269.1,hypothetical protein,4278,5852,+,Ion_trans,PF00520.34,1.4e-125,6.0e-35,1.2e-30,7,241,1183,1457,1175,1459,8.5e-01
PTB36664.1,KZ679269.1,hypothetical protein,4278,5852,+,Ion_trans,PF00520.34,1.4e-125,6.2e-30,1.2e-25,4,244,1508,1756,1507,1757,9.4e-01
PTB36665.1,KZ679269.1,hypothetical protein,12294,12310,-,HisG,PF01634.21,1.2e-54,1.7e-58,1.7e-54,1,159,58,236,58,236,9.3e-01
PTB36665.1,KZ679269.1,hypothetical protein,12294,12310,-,HisG_C,PF08029.14,1.4e-26,3.0e-30,2.9e-26,1,73,240,311,240,311,9.8e-01
PTB36666.1,KZ679269.1,hypothetical protein,14043,15977,-,Pkinase,PF00069.28,1.8e-67,2.5e-71,2.5e-67,3,264,188,461,186,461,9.4e-01
PTB36667.1,KZ679269.1,hypothetical protein,16919,17401,+,TRAM_LAG1_CLN8,PF03798.19,1.5e-47,1.1e-51,2.1e-47,1,198,73,284,73,284,9.8e-01
PTB36668.1,KZ679269.1,hypothetical protein,18924,19486,+,Velvet,PF11754.11,8.8e-89,4.5e-93,8.8e-89,1,241,187,494,187,496,8.5e-01
PTB36668.1,KZ679269.1,hypothetical protein,18924,19486,+,Velvet,PF11754.11,8.8e-89,6.0e-02,1.2e+03,120,149,75,139,16,159,4.1e-01
PTB36669.1,KZ679269.1,hypothetical protein,25361,25441,-,Rav1p_C,PF12234.11,6.5e-274,4.1e-278,8.1e-274,1,640,611,1244,611,1244,9.7e-01
PTB36673.1,KZ679269.1,glycoside hydrolase family 18 protein,32839,32981,+,Glyco_hydro_18,PF00704.31,2.1e-92,1.2e-96,2.4e-92,3,312,42,384,40,384,9.3e-01
PTB36674.1,KZ679269.1,hypothetical protein,35367,35636,+,SWIB,PF02201.21,6.4e-20,9.3e-24,1.8e-19,1,74,240,312,240,312,9.7e-01
PTB36674.1,KZ679269.1,hypothetical protein,35367,35636,+,SWIB,PF02201.21,6.4e-20,3.0e-01,5.8e+03,5,18,372,385,366,389,5.3e-01
PTB36675.1,KZ679269.1,hypothetical protein,38488,38592,-,Mo25,PF08569.14,6.3e-136,3.6e-140,7.1e-136,1,332,3,361,3,361,9.7e-01
PTB36676.1,KZ679269.1,hypothetical protein,39143,39217,+,tRNA-synt_1,PF00133.25,1.6e-220,5.7e-224,2.8e-220,3,599,13,634,11,637,9.8e-01
PTB36676.1,KZ679269.1,hypothetical protein,39143,39217,+,Anticodon_1,PF08264.16,2.7e-25,4.7e-28,2.3e-24,1,150,691,846,691,848,9.1e-01
PTB36676.1,KZ679269.1,hypothetical protein,39143,39217,+,DUF5915,PF19302.2,2.5e-27,9.3e-31,4.6e-27,2,145,865,1010,864,1049,9.1e-01
PTB36678.1,KZ679269.1,hypothetical protein,46105,46330,-,AMP_deaminase,PF19326.2,1.3e-293,1.9e-297,1.9e-293,19,629,133,770,106,774,9.6e-01
PTB36679.1,KZ679269.1,hypothetical protein,48547,48720,-,UAA,PF08449.14,3.0e-98,1.8e-102,3.6e-98,3,305,45,356,43,358,9.7e-01
PTB36680.1,KZ679269.1,hypothetical protein,49552,49738,+,JAB,PF01398.24,1.5e-32,1.1e+00,1.0e+04,55,58,303,306,286,321,4.9e-01
PTB36680.1,KZ679269.1,hypothetical protein,49552,49738,+,MitMem_reg,PF13012.9,1.4e-37,6.4e-01,6.3e+03,43,54,27,38,23,93,5.8e-01
PTB36680.1,KZ679269.1,hypothetical protein,49552,49738,+,MitMem_reg,PF13012.9,1.4e-37,3.1e-41,3.0e-37,1,112,173,293,173,293,9.7e-01
PTB36682.1,KZ679269.1,hypothetical protein,53148,53369,-,Coprogen_oxidas,PF01218.21,1.8e-148,1.1e-152,2.2e-148,1,303,109,412,109,412,9.8e-01
