ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
PTB41204.1,KZ679261.1,hypothetical protein,1463,6983,-,Mus7,PF09462.13,7.9e-118,5.4e-122,1.1e-117,1,614,1188,1807,1188,1807,0.93
PTB41204.1,KZ679261.1,hypothetical protein,1346,1383,-,Mus7,PF09462.13,7.9e-118,5.4e-122,1.1e-117,1,614,1188,1807,1188,1807,0.93
PTB41205.1,KZ679261.1,hypothetical protein,6901,7036,+,AAA,PF00004.32,2.2e-37,5.4e-41,5.3e-37,2,131,760,886,759,887,0.94
PTB41205.1,KZ679261.1,hypothetical protein,6901,7036,+,AAA_lid_3,PF17862.4,5.5e-12,0.00068,6.7,6,22,341,357,339,357,0.82
PTB41205.1,KZ679261.1,hypothetical protein,6901,7036,+,AAA_lid_3,PF17862.4,5.5e-12,4.6e-13,4.5e-09,1,36,909,944,909,950,0.93
PTB41205.1,KZ679261.1,hypothetical protein,7659,10591,+,AAA,PF00004.32,2.2e-37,5.4e-41,5.3e-37,2,131,760,886,759,887,0.94
PTB41205.1,KZ679261.1,hypothetical protein,7659,10591,+,AAA_lid_3,PF17862.4,5.5e-12,0.00068,6.7,6,22,341,357,339,357,0.82
PTB41205.1,KZ679261.1,hypothetical protein,7659,10591,+,AAA_lid_3,PF17862.4,5.5e-12,4.6e-13,4.5e-09,1,36,909,944,909,950,0.93
PTB41206.1,KZ679261.1,hypothetical protein,12823,12961,-,BSD,PF03909.20,3.9e-30,1.5e-18,1.5e-14,1,58,149,211,149,211,0.98
PTB41206.1,KZ679261.1,hypothetical protein,12823,12961,-,BSD,PF03909.20,3.9e-30,7.1e-17,7e-13,2,58,228,283,227,283,0.96
PTB41206.1,KZ679261.1,hypothetical protein,12823,12961,-,PH_TFIIH,PF08567.14,4.2e-25,1.5e-28,1.4e-24,2,89,10,96,9,96,0.93
PTB41206.1,KZ679261.1,hypothetical protein,12823,12961,-,PH_TFIIH,PF08567.14,4.2e-25,1.2,1.2e+04,14,44,591,623,587,628,0.58
PTB41206.1,KZ679261.1,hypothetical protein,10984,12770,-,BSD,PF03909.20,3.9e-30,1.5e-18,1.5e-14,1,58,149,211,149,211,0.98
PTB41206.1,KZ679261.1,hypothetical protein,10984,12770,-,BSD,PF03909.20,3.9e-30,7.1e-17,7e-13,2,58,228,283,227,283,0.96
PTB41206.1,KZ679261.1,hypothetical protein,10984,12770,-,PH_TFIIH,PF08567.14,4.2e-25,1.5e-28,1.4e-24,2,89,10,96,9,96,0.93
PTB41206.1,KZ679261.1,hypothetical protein,10984,12770,-,PH_TFIIH,PF08567.14,4.2e-25,1.2,1.2e+04,14,44,591,623,587,628,0.58
PTB41209.1,KZ679261.1,hypothetical protein,18550,19866,+,WD40,PF00400.35,1.5e-23,0.00039,7.6,8,37,56,90,34,91,0.77
PTB41209.1,KZ679261.1,hypothetical protein,18550,19866,+,WD40,PF00400.35,1.5e-23,9e-13,1.8e-08,5,37,127,160,123,161,0.91
PTB41209.1,KZ679261.1,hypothetical protein,18550,19866,+,WD40,PF00400.35,1.5e-23,3.2e-06,0.063,2,37,173,222,172,223,0.84
PTB41209.1,KZ679261.1,hypothetical protein,18550,19866,+,WD40,PF00400.35,1.5e-23,9.2e-06,0.18,2,37,231,272,230,273,0.85
PTB41209.1,KZ679261.1,hypothetical protein,18550,19866,+,WD40,PF00400.35,1.5e-23,1.9e-05,0.38,1,37,307,345,307,346,0.82
PTB41209.1,KZ679261.1,hypothetical protein,18550,19866,+,WD40,PF00400.35,1.5e-23,0.0025,48,4,37,385,431,382,432,0.76
PTB41210.1,KZ679261.1,hypothetical protein,21205,21383,-,ADH_zinc_N,PF00107.29,3.1e-14,2.8e-18,5.5e-14,1,119,221,350,221,358,0.82
PTB41210.1,KZ679261.1,hypothetical protein,20079,21147,-,ADH_zinc_N,PF00107.29,3.1e-14,2.8e-18,5.5e-14,1,119,221,350,221,358,0.82
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,24371,24416,-,Alpha-amylase_C,PF02806.21,1.1e-27,4.5e-31,3e-27,1,94,614,707,614,709,0.97
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,24371,24416,-,CBM_48,PF02922.21,7.6e-17,4.9e-20,3.2e-16,2,71,62,134,61,144,0.92
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,24371,24416,-,Alpha-amylase,PF00128.27,1.6e-16,4.4e-16,2.9e-12,10,83,235,309,232,334,0.85
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,24371,24416,-,Alpha-amylase,PF00128.27,1.6e-16,1.5e-05,0.098,135,179,330,375,309,500,0.71
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,24190,24314,-,Alpha-amylase_C,PF02806.21,1.1e-27,4.5e-31,3e-27,1,94,614,707,614,709,0.97
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,24190,24314,-,CBM_48,PF02922.21,7.6e-17,4.9e-20,3.2e-16,2,71,62,134,61,144,0.92
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,24190,24314,-,Alpha-amylase,PF00128.27,1.6e-16,4.4e-16,2.9e-12,10,83,235,309,232,334,0.85
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,24190,24314,-,Alpha-amylase,PF00128.27,1.6e-16,1.5e-05,0.098,135,179,330,375,309,500,0.71
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,23973,24072,-,Alpha-amylase_C,PF02806.21,1.1e-27,4.5e-31,3e-27,1,94,614,707,614,709,0.97
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,23973,24072,-,CBM_48,PF02922.21,7.6e-17,4.9e-20,3.2e-16,2,71,62,134,61,144,0.92
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,23973,24072,-,Alpha-amylase,PF00128.27,1.6e-16,4.4e-16,2.9e-12,10,83,235,309,232,334,0.85
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,23973,24072,-,Alpha-amylase,PF00128.27,1.6e-16,1.5e-05,0.098,135,179,330,375,309,500,0.71
PTB41211.1,KZ679261.1,glycoside hydrolase family 13 protein,23041,23914,-,Alpha-amylase_C,PF02806.21,1.1e-27,4.5e-31,3e-27,1,94,614,707,614,709,0.97
