cluster_id,label,tsne1,tsne2
BGC0000001,polyketide,-29.400934,-18.187372
BGC0000002,polyketide,-40.59468,-27.909092
BGC0000003,polyketide,-24.082659,-11.767545
BGC0000004,polyketide,-7.8452125,-32.884842
BGC0000006,polyketide,-7.8449726,-32.88577
BGC0000007,polyketide,-7.484408,-33.09208
BGC0000008,polyketide,-7.708579,-32.71591
BGC0000009,polyketide,-7.2592688,-32.618652
BGC0000010,polyketide,-6.8833814,-33.30719
BGC0000011,polyketide,-7.742389,-32.04772
BGC0000012,polyketide,-23.291096,-37.460392
BGC0000013,polyketide,-32.541584,-45.805267
BGC0000014,polyketide,-26.38484,-14.157669
BGC0000016,other,9.612232,7.404159
BGC0000017,polyketide,-47.082428,-10.34141
BGC0000018,polyketide,-63.063824,-18.159843
BGC0000019,polyketide,27.98877,-17.077785
BGC0000020,polyketide,-23.300997,-19.921734
BGC0000021,polyketide,-37.53387,-26.41638
BGC0000022,polyketide,-24.540367,-31.146807
BGC0000023,polyketide,-55.046318,-29.972448
BGC0000024,polyketide,-53.60124,-18.715675
BGC0000025,polyketide,31.34656,-20.220892
BGC0000026,saccharide,30.714592,-17.659971
BGC0000027,polyketide,-26.417118,-19.263296
BGC0000028,polyketide,-53.709965,-24.285393
BGC0000029,polyketide,-49.402355,-24.883831
BGC0000030,polyketide,-12.521755,-29.917572
BGC0000031,polyketide,-20.515154,-23.57403
BGC0000032,polyketide,-29.679972,-24.8827
BGC0000033,polyketide,26.057274,-14.017049
BGC0000034,nrp,-48.17492,-28.108707
BGC0000035,polyketide,-25.922594,-21.219063
BGC0000036,polyketide,-42.3956,-26.873966
BGC0000037,polyketide,-62.882385,-34.10034
BGC0000038,polyketide,-32.49252,-22.81453
BGC0000039,polyketide,-27.400148,-32.90169
BGC0000040,polyketide,-43.58969,-26.630539
BGC0000041,polyketide,-55.580536,-34.37191
BGC0000042,polyketide,-43.415768,-28.803074
BGC0000043,polyketide,-26.024036,-14.251899
BGC0000044,polyketide,-60.587574,-6.671926
BGC0000045,polyketide,-34.83385,-38.62269
BGC0000046,polyketide,-26.80918,-10.308918
BGC0000047,polyketide,-36.440296,-27.986118
BGC0000048,polyketide,-17.806477,-16.808983
BGC0000050,polyketide,-60.65562,-26.626305
BGC0000051,polyketide,-55.66642,-32.85159
BGC0000052,polyketide,-55.15876,-28.50855
BGC0000053,polyketide,-37.893524,-29.46466
BGC0000054,polyketide,-35.129013,-26.54206
BGC0000055,polyketide,-35.41571,-26.322763
BGC0000056,polyketide,-60.031498,-32.911686
BGC0000057,polyketide,-17.85706,-22.629316
BGC0000058,polyketide,-57.540943,-29.461863
BGC0000059,polyketide,-55.610348,-31.131483
BGC0000060,polyketide,-51.587162,-28.969227
BGC0000062,polyketide,1.5151346,-4.460781
BGC0000063,polyketide,1.495185,-4.4447813
BGC0000064,nrp,-41.283047,-1.1449888
BGC0000065,polyketide,8.368093,-13.22145
BGC0000066,polyketide,-25.383677,-23.504528
BGC0000067,polyketide,-50.179512,-36.37144
BGC0000068,polyketide,-20.927212,-17.260452
BGC0000069,polyketide,-30.589151,-31.90417
BGC0000070,polyketide,-8.89878,-28.609165
BGC0000072,polyketide,-60.760437,-27.898457
BGC0000073,polyketide,-58.863186,-29.693188
BGC0000074,polyketide,-24.67394,-23.328733
BGC0000075,polyketide,-25.837801,-22.962688
BGC0000076,polyketide,-31.133436,-38.885204
BGC0000077,polyketide,-30.85736,-38.720406
BGC0000078,polyketide,-23.330376,-21.27204
BGC0000079,polyketide,-49.13797,-33.227734
BGC0000080,polyketide,-26.412708,-14.159427
BGC0000081,nrp,11.871616,-9.207667
BGC0000082,polyketide,-36.230312,-25.251986
BGC0000083,polyketide,-59.876022,-9.666785
BGC0000084,polyketide,-48.66556,-29.210415
BGC0000085,polyketide,-22.696663,-22.795006
BGC0000086,polyketide,-49.538685,-32.96088
BGC0000087,polyketide,-30.532492,-24.760994
BGC0000088,polyketide,14.995526,-7.571194
BGC0000090,polyketide,-27.41367,-28.810461
BGC0000091,polyketide,-21.372675,-8.187836
BGC0000092,polyketide,-41.38294,-25.90035
BGC0000093,polyketide,-18.876783,-22.556288
BGC0000094,polyketide,-63.06108,-18.044949
BGC0000096,polyketide,-41.243507,-29.84988
BGC0000097,polyketide,-54.181854,-25.375189
BGC0000098,polyketide,-27.532019,-32.92194
BGC0000099,polyketide,-62.986103,-34.09189
BGC0000100,polyketide,-47.36974,-33.056103
BGC0000102,polyketide,-40.574028,-25.700144
BGC0000103,polyketide,-59.326157,-28.314856
BGC0000104,polyketide,-16.60121,-33.661068
BGC0000105,polyketide,-40.725174,-28.294498
BGC0000106,polyketide,-38.67643,-22.81877
BGC0000107,polyketide,-33.859097,-44.94541
BGC0000108,polyketide,-45.453575,-24.97311
BGC0000109,polyketide,-57.159466,-27.822067
BGC0000110,polyketide,-53.627476,-18.90672
BGC0000111,polyketide,-31.641672,-16.986814
BGC0000112,polyketide,14.827239,-9.131804
BGC0000113,polyketide,-57.671215,-31.412966
BGC0000114,polyketide,-56.957108,-30.728006
BGC0000115,polyketide,-50.941746,-27.306995
BGC0000116,polyketide,-51.689827,-27.135307
BGC0000117,polyketide,-53.44176,-30.061647
BGC0000118,polyketide,12.274248,-12.029867
BGC0000119,polyketide,36.611546,0.78289986
BGC0000120,polyketide,-14.428277,-18.77144
BGC0000121,polyketide,-2.6241157,-26.2244
BGC0000122,polyketide,-56.86065,-16.45703
BGC0000123,polyketide,-29.42639,-23.159315
BGC0000124,polyketide,-58.8103,-25.490149
BGC0000125,polyketide,-51.106205,-26.343239
BGC0000126,polyketide,-57.31259,-29.378609
BGC0000127,polyketide,-20.628471,-12.245529
BGC0000128,polyketide,-20.62422,-12.245623
BGC0000129,polyketide,-39.585026,-7.8486114
BGC0000130,polyketide,-18.140413,-13.670993
BGC0000131,polyketide,-2.4156854,-2.2085226
BGC0000132,polyketide,-16.346016,-14.72636
BGC0000133,polyketide,-21.800524,-18.832907
