cluster_id,label,domain_tokens,tokens
BGC0000001,Polyketide,PCMT BTAD p450 GerE BTAD RHS_repeat RHS_repeat RHS_repeat RHS_repeat RHS_repeat RHS_repeat RHS_repeat RHS_repeat ACP_syn_III 2-oxoacid_dh FrsA-like ketoacyl-synt Ketoacyl-synt_C KAsynt_C_assoc Acyl_transf_1 PP-binding ketoacyl-synt Ketoacyl-synt_C KAsynt_C_assoc ketoacyl-synt KR PS-DH KR PP-binding ketoacyl-synt Ketoacyl-synt_C KAsynt_C_assoc ketoacyl-synt KR PS-DH ketoacyl-synt KR adh_short PP-binding ketoacyl-synt Ketoacyl-synt_C KAsynt_C_assoc Acyl_transf_1 KR PP-binding ketoacyl-synt KAsynt_C_assoc ketoacyl-synt PS-DH KR PP-binding ketoacyl-synt PS-DH ketoacyl-synt KR PS-DH ADH_zinc_N_2 KR PP-binding ketoacyl-synt KAsynt_C_assoc Acyl_transf_1 PP-binding TetR_C_7 TetR_N TetR_C_7 MFS_1 Bac_luciferase SBP_bac_5 BPD_transp_1 BPD_transp_1 ABC_tran oligo_HPY ABC_tran oligo_HPY p450 Fer4_15 FMN_red Thioesterase ADH_zinc_N,"['PCMT', 'BTAD', 'p450', 'GerE', 'BTAD', 'RHS_repeat', 'RHS_repeat', 'RHS_repeat', 'RHS_repeat', 'RHS_repeat', 'RHS_repeat', 'RHS_repeat', 'RHS_repeat', 'ACP_syn_III', '2-oxoacid_dh', 'FrsA-like', 'ketoacyl-synt', 'Ketoacyl-synt_C', 'KAsynt_C_assoc', 'Acyl_transf_1', 'PP-binding', 'ketoacyl-synt', 'Ketoacyl-synt_C', 'KAsynt_C_assoc', 'ketoacyl-synt', 'KR', 'PS-DH', 'KR', 'PP-binding', 'ketoacyl-synt', 'Ketoacyl-synt_C', 'KAsynt_C_assoc', 'ketoacyl-synt', 'KR', 'PS-DH', 'ketoacyl-synt', 'KR', 'adh_short', 'PP-binding', 'ketoacyl-synt', 'Ketoacyl-synt_C', 'KAsynt_C_assoc', 'Acyl_transf_1', 'KR', 'PP-binding', 'ketoacyl-synt', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PS-DH', 'KR', 'PP-binding', 'ketoacyl-synt', 'PS-DH', 'ketoacyl-synt', 'KR', 'PS-DH', 'ADH_zinc_N_2', 'KR', 'PP-binding', 'ketoacyl-synt', 'KAsynt_C_assoc', 'Acyl_transf_1', 'PP-binding', 'TetR_C_7', 'TetR_N', 'TetR_C_7', 'MFS_1', 'Bac_luciferase', 'SBP_bac_5', 'BPD_transp_1', 'BPD_transp_1', 'ABC_tran', 'oligo_HPY', 'ABC_tran', 'oligo_HPY', 'p450', 'Fer4_15', 'FMN_red', 'Thioesterase', 'ADH_zinc_N']"
BGC0000002,Polyketide,tRNA-synt_1c Acyl_transf_1 PP-binding KR ketoacyl-synt PS-DH adh_short ketoacyl-synt KAsynt_C_assoc ketoacyl-synt PP-binding KR PS-DH Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt Docking PP-binding KR PKS_DE KR PKS_DE Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt PP-binding KR PKS_DE Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt PP-binding KR ADH_zinc_N_2 adh_short PS-DH Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt PP-binding KR PS-DH PKS_DE ADH_zinc_N_2 adh_short ketoacyl-synt KAsynt_C_assoc Ketoacyl-synt_C ketoacyl-synt PP-binding PS-DH Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt PP-binding KR PKS_DE Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt PP-binding KR PKS_DE Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt PP-binding ketoacyl-synt PKS_DE ketoacyl-synt KAsynt_C_assoc ketoacyl-synt PP-binding KR Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt PP-binding KR PKS_DE Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt PP-binding KR PKS_DE adh_short ketoacyl-synt KAsynt_C_assoc ketoacyl-synt PP-binding Acyl_transf_1 adh_short PS-DH Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt KR PS-DH Acyl_transf_1 KAsynt_C_assoc Ketoacyl-synt_C ketoacyl-synt PP-binding KR KR Epimerase adh_short ketoacyl-synt KAsynt_C_assoc ketoacyl-synt PP-binding KR ADH_zinc_N_2 KR PS-DH Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt PP-binding KR ketoacyl-synt ADH_zinc_N PKS_DE Acyl_transf_1 KAsynt_C_assoc Ketoacyl-synt_C ketoacyl-synt Docking PP-binding KR ADH_zinc_N_2 ADH_N PKS_DE PS-DH Acyl_transf_1 KAsynt_C_assoc ketoacyl-synt PP-binding KR PKS_DE ketoacyl-synt KAsynt_C_assoc ketoacyl-synt PP-binding KR ADH_zinc_N_2 adh_short ADH_N PS-DH ketoacyl-synt KAsynt_C_assoc ketoacyl-synt p450 UDPGT UDPGT NTP_transferase ABC_tran ABC_membrane TetR_N UDPGT Epimerase Glyco_hydro_20 Glyco_hydro_20b DegT_DnrJ_EryC1 UDPGT DegT_DnrJ_EryC1 DUF1205 Hexose_dehydrat dTDP_sugar_isom UDPGT GDP_Man_Dehyd Bac_luciferase Methyltransf_14 Methyltransf_23 Methyltransf_13 AAA_16 AAA_16 AAA_16 AAA_16 GerE AAA_16,"['tRNA-synt_1c', 'Acyl_transf_1', 'PP-binding', 'KR', 'ketoacyl-synt', 'PS-DH', 'adh_short', 'ketoacyl-synt', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'PS-DH', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'Docking', 'PP-binding', 'KR', 'PKS_DE', 'KR', 'PKS_DE', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'PKS_DE', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'ADH_zinc_N_2', 'adh_short', 'PS-DH', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'PS-DH', 'PKS_DE', 'ADH_zinc_N_2', 'adh_short', 'ketoacyl-synt', 'KAsynt_C_assoc', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'PP-binding', 'PS-DH', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'PKS_DE', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'PKS_DE', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'ketoacyl-synt', 'PKS_DE', 'ketoacyl-synt', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'PKS_DE', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'PKS_DE', 'adh_short', 'ketoacyl-synt', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'Acyl_transf_1', 'adh_short', 'PS-DH', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'KR', 'PS-DH', 'Acyl_transf_1', 'KAsynt_C_assoc', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'PP-binding', 'KR', 'KR', 'Epimerase', 'adh_short', 'ketoacyl-synt', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'ADH_zinc_N_2', 'KR', 'PS-DH', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'ketoacyl-synt', 'ADH_zinc_N', 'PKS_DE', 'Acyl_transf_1', 'KAsynt_C_assoc', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'Docking', 'PP-binding', 'KR', 'ADH_zinc_N_2', 'ADH_N', 'PKS_DE', 'PS-DH', 'Acyl_transf_1', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'PKS_DE', 'ketoacyl-synt', 'KAsynt_C_assoc', 'ketoacyl-synt', 'PP-binding', 'KR', 'ADH_zinc_N_2', 'adh_short', 'ADH_N', 'PS-DH', 'ketoacyl-synt', 'KAsynt_C_assoc', 'ketoacyl-synt', 'p450', 'UDPGT', 'UDPGT', 'NTP_transferase', 'ABC_tran', 'ABC_membrane', 'TetR_N', 'UDPGT', 'Epimerase', 'Glyco_hydro_20', 'Glyco_hydro_20b', 'DegT_DnrJ_EryC1', 'UDPGT', 'DegT_DnrJ_EryC1', 'DUF1205', 'Hexose_dehydrat', 'dTDP_sugar_isom', 'UDPGT', 'GDP_Man_Dehyd', 'Bac_luciferase', 'Methyltransf_14', 'Methyltransf_23', 'Methyltransf_13', 'AAA_16', 'AAA_16', 'AAA_16', 'AAA_16', 'GerE', 'AAA_16']"
BGC0000003,Polyketide,Carn_acyltransf Acyl_transf_1 Methyltransf_12 PS-DH Acyl_transf_1 KAsynt_C_assoc Ketoacyl-synt_C ketoacyl-synt Acyl-CoA_dh_N Acyl-CoA_dh_M Acyl-CoA_dh_1 p450 ApbA ApbA_C ECH_1,"['Carn_acyltransf', 'Acyl_transf_1', 'Methyltransf_12', 'PS-DH', 'Acyl_transf_1', 'KAsynt_C_assoc', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'Acyl-CoA_dh_N', 'Acyl-CoA_dh_M', 'Acyl-CoA_dh_1', 'p450', 'ApbA', 'ApbA_C', 'ECH_1']"
BGC0000004,Polyketide,MFS_1 Thioesterase PS-DH SAT Ketoacyl-synt_C ketoacyl-synt SAT adh_short ACPS Ketoacyl-synt_C ketoacyl-synt FAS_I_H Fas_alpha_ACP Acyl_transf_1 DUF1729 FAS_meander MaoC_dehydratas Acyl_transf_1 AflR adh_short Abhydrolase_3 Aldo_ket_red adh_short_C2 p450 p450 p450 NAD_binding_10 Methyltransf_2 Methyltransf_2 p450 GMC_oxred_N GMC_oxred_C p450 FMO-like NAD_binding_10 Questin_oxidase,"['MFS_1', 'Thioesterase', 'PS-DH', 'SAT', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'SAT', 'adh_short', 'ACPS', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'FAS_I_H', 'Fas_alpha_ACP', 'Acyl_transf_1', 'DUF1729', 'FAS_meander', 'MaoC_dehydratas', 'Acyl_transf_1', 'AflR', 'adh_short', 'Abhydrolase_3', 'Aldo_ket_red', 'adh_short_C2', 'p450', 'p450', 'p450', 'NAD_binding_10', 'Methyltransf_2', 'Methyltransf_2', 'p450', 'GMC_oxred_N', 'GMC_oxred_C', 'p450', 'FMO-like', 'NAD_binding_10', 'Questin_oxidase']"
BGC0000006,Polyketide,MFS_1 Thioesterase PS-DH SAT Ketoacyl-synt_C ketoacyl-synt SAT adh_short ACPS Ketoacyl-synt_C ketoacyl-synt FAS_I_H Fas_alpha_ACP Acyl_transf_1 DUF1729 FAS_meander MaoC_dehydratas Acyl_transf_1 AflR adh_short Abhydrolase_3 Aldo_ket_red adh_short_C2 p450 p450 p450 NAD_binding_10 Methyltransf_2 Methyltransf_2 p450 GMC_oxred_N GMC_oxred_C p450 FMO-like NAD_binding_10 Questin_oxidase,"['MFS_1', 'Thioesterase', 'PS-DH', 'SAT', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'SAT', 'adh_short', 'ACPS', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'FAS_I_H', 'Fas_alpha_ACP', 'Acyl_transf_1', 'DUF1729', 'FAS_meander', 'MaoC_dehydratas', 'Acyl_transf_1', 'AflR', 'adh_short', 'Abhydrolase_3', 'Aldo_ket_red', 'adh_short_C2', 'p450', 'p450', 'p450', 'NAD_binding_10', 'Methyltransf_2', 'Methyltransf_2', 'p450', 'GMC_oxred_N', 'GMC_oxred_C', 'p450', 'FMO-like', 'NAD_binding_10', 'Questin_oxidase']"
BGC0000007,Polyketide,Aldo_ket_red p450 MFS_1 Thioesterase PS-DH SAT Ketoacyl-synt_C ketoacyl-synt SAT adh_short ACPS Ketoacyl-synt_C ketoacyl-synt FAS_I_H Fas_alpha_ACP Acyl_transf_1 DUF1729 FAS_meander MaoC_dehydratas Acyl_transf_1 AflR adh_short Abhydrolase_3 Aldo_ket_red adh_short_C2 p450 p450 p450 NAD_binding_10 Methyltransf_2 Methyltransf_2 p450 GMC_oxred_N GMC_oxred_C p450 FMO-like NAD_binding_10 Questin_oxidase,"['Aldo_ket_red', 'p450', 'MFS_1', 'Thioesterase', 'PS-DH', 'SAT', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'SAT', 'adh_short', 'ACPS', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'FAS_I_H', 'Fas_alpha_ACP', 'Acyl_transf_1', 'DUF1729', 'FAS_meander', 'MaoC_dehydratas', 'Acyl_transf_1', 'AflR', 'adh_short', 'Abhydrolase_3', 'Aldo_ket_red', 'adh_short_C2', 'p450', 'p450', 'p450', 'NAD_binding_10', 'Methyltransf_2', 'Methyltransf_2', 'p450', 'GMC_oxred_N', 'GMC_oxred_C', 'p450', 'FMO-like', 'NAD_binding_10', 'Questin_oxidase']"
BGC0000008,Polyketide,MFS_1 Thioesterase PS-DH SAT Ketoacyl-synt_C ketoacyl-synt SAT adh_short ACPS Ketoacyl-synt_C ketoacyl-synt FAS_I_H Fas_alpha_ACP Acyl_transf_1 DUF1729 FAS_meander MaoC_dehydratas Acyl_transf_1 AflR adh_short Abhydrolase_3 Aldo_ket_red adh_short_C2 p450 p450 p450 NAD_binding_10 Methyltransf_2 Methyltransf_2 p450 GMC_oxred_N GMC_oxred_C p450 FMO-like NAD_binding_10 Questin_oxidase,"['MFS_1', 'Thioesterase', 'PS-DH', 'SAT', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'SAT', 'adh_short', 'ACPS', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'FAS_I_H', 'Fas_alpha_ACP', 'Acyl_transf_1', 'DUF1729', 'FAS_meander', 'MaoC_dehydratas', 'Acyl_transf_1', 'AflR', 'adh_short', 'Abhydrolase_3', 'Aldo_ket_red', 'adh_short_C2', 'p450', 'p450', 'p450', 'NAD_binding_10', 'Methyltransf_2', 'Methyltransf_2', 'p450', 'GMC_oxred_N', 'GMC_oxred_C', 'p450', 'FMO-like', 'NAD_binding_10', 'Questin_oxidase']"
BGC0000009,Polyketide,Aldo_ket_red p450 MFS_1 Thioesterase PS-DH SAT Ketoacyl-synt_C ketoacyl-synt SAT adh_short ACPS Ketoacyl-synt_C Fas_alpha_ACP ketoacyl-synt FAS_I_H Fas_alpha_ACP Acyl_transf_1 DUF1729 FAS_meander MaoC_dehydratas Acyl_transf_1 AflR AflR adh_short Abhydrolase_3 Aldo_ket_red adh_short_C2 p450 p450 p450 NAD_binding_10 Methyltransf_2 Methyltransf_2 p450 GMC_oxred_N GMC_oxred_C p450 FMO-like NAD_binding_10 Questin_oxidase,"['Aldo_ket_red', 'p450', 'MFS_1', 'Thioesterase', 'PS-DH', 'SAT', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'SAT', 'adh_short', 'ACPS', 'Ketoacyl-synt_C', 'Fas_alpha_ACP', 'ketoacyl-synt', 'FAS_I_H', 'Fas_alpha_ACP', 'Acyl_transf_1', 'DUF1729', 'FAS_meander', 'MaoC_dehydratas', 'Acyl_transf_1', 'AflR', 'AflR', 'adh_short', 'Abhydrolase_3', 'Aldo_ket_red', 'adh_short_C2', 'p450', 'p450', 'p450', 'NAD_binding_10', 'Methyltransf_2', 'Methyltransf_2', 'p450', 'GMC_oxred_N', 'GMC_oxred_C', 'p450', 'FMO-like', 'NAD_binding_10', 'Questin_oxidase']"
BGC0000010,Polyketide,MFS_1 adh_short ACPS Ketoacyl-synt_C ketoacyl-synt FAS_I_H Fas_alpha_ACP Acyl_transf_1 DUF1729 FAS_meander MaoC_dehydratas Acyl_transf_1 AflR adh_short Abhydrolase_3 Aldo_ket_red adh_short_C2 p450 p450 p450 NAD_binding_10 Methyltransf_2 Methyltransf_2 p450 GMC_oxred_N GMC_oxred_C p450 FMO-like NAD_binding_10 Questin_oxidase,"['MFS_1', 'adh_short', 'ACPS', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'FAS_I_H', 'Fas_alpha_ACP', 'Acyl_transf_1', 'DUF1729', 'FAS_meander', 'MaoC_dehydratas', 'Acyl_transf_1', 'AflR', 'adh_short', 'Abhydrolase_3', 'Aldo_ket_red', 'adh_short_C2', 'p450', 'p450', 'p450', 'NAD_binding_10', 'Methyltransf_2', 'Methyltransf_2', 'p450', 'GMC_oxred_N', 'GMC_oxred_C', 'p450', 'FMO-like', 'NAD_binding_10', 'Questin_oxidase']"
BGC0000011,Polyketide,Aldo_ket_red adh_short_C2 GST_C GST_N EthD p450 Thioesterase PP-binding PS-DH Thioesterase Ketoacyl-synt_C ketoacyl-synt PP-binding SAT p450 Peroxidase_2 DUF4267 adh_short AflR p450 adh_short Abhydrolase_3 Ketoacyl-synt_C ketoacyl-synt FAS_I_H Fas_alpha_ACP Acyl_transf_1 DUF1729 FAS_meander DUF1729 Acyl_transf_1 p450 Anthrone_oxy GMC_oxred_N GMC_oxred_C NAD_binding_10 Methyltransf_2 NAD_binding_10 Questin_oxidase,"['Aldo_ket_red', 'adh_short_C2', 'GST_C', 'GST_N', 'EthD', 'p450', 'Thioesterase', 'PP-binding', 'PS-DH', 'Thioesterase', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'PP-binding', 'SAT', 'p450', 'Peroxidase_2', 'DUF4267', 'adh_short', 'AflR', 'p450', 'adh_short', 'Abhydrolase_3', 'Ketoacyl-synt_C', 'ketoacyl-synt', 'FAS_I_H', 'Fas_alpha_ACP', 'Acyl_transf_1', 'DUF1729', 'FAS_meander', 'DUF1729', 'Acyl_transf_1', 'p450', 'Anthrone_oxy', 'GMC_oxred_N', 'GMC_oxred_C', 'NAD_binding_10', 'Methyltransf_2', 'NAD_binding_10', 'Questin_oxidase']"
