cluster_id,label,domain_tokens,tokens
BGC0000001,Polyketide,PF01135 PF03704 PF00067 PF00196 PF03704 PF05593 PF05593 PF05593 PF05593 PF05593 PF05593 PF05593 PF05593 PF08545 PF00198 PF06500 PF00109 PF02801 PF16197 PF00698 PF00550 PF00109 PF02801 PF16197 PF00109 PF08659 PF14765 PF08659 PF00550 PF00109 PF02801 PF16197 PF00109 PF08659 PF14765 PF00109 PF08659 PF00106 PF00550 PF00109 PF02801 PF16197 PF00698 PF08659 PF00550 PF00109 PF16197 PF00109 PF14765 PF08659 PF00550 PF00109 PF14765 PF00109 PF08659 PF14765 PF13602 PF08659 PF00550 PF00109 PF16197 PF00698 PF00550 PF14246 PF00440 PF14246 PF07690 PF00296 PF00496 PF00528 PF00528 PF00005 PF08352 PF00005 PF08352 PF00067 PF13459 PF03358 PF00975 PF00107,"['PF01135', 'PF03704', 'PF00067', 'PF00196', 'PF03704', 'PF05593', 'PF05593', 'PF05593', 'PF05593', 'PF05593', 'PF05593', 'PF05593', 'PF05593', 'PF08545', 'PF00198', 'PF06500', 'PF00109', 'PF02801', 'PF16197', 'PF00698', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00109', 'PF08659', 'PF14765', 'PF08659', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00109', 'PF08659', 'PF14765', 'PF00109', 'PF08659', 'PF00106', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00698', 'PF08659', 'PF00550', 'PF00109', 'PF16197', 'PF00109', 'PF14765', 'PF08659', 'PF00550', 'PF00109', 'PF14765', 'PF00109', 'PF08659', 'PF14765', 'PF13602', 'PF08659', 'PF00550', 'PF00109', 'PF16197', 'PF00698', 'PF00550', 'PF14246', 'PF00440', 'PF14246', 'PF07690', 'PF00296', 'PF00496', 'PF00528', 'PF00528', 'PF00005', 'PF08352', 'PF00005', 'PF08352', 'PF00067', 'PF13459', 'PF03358', 'PF00975', 'PF00107']"
BGC0000002,Polyketide,PF00749 PF00698 PF00550 PF08659 PF00109 PF14765 PF00106 PF00109 PF16197 PF00109 PF00550 PF08659 PF14765 PF00698 PF16197 PF00109 PF08990 PF00550 PF08659 PF18369 PF08659 PF18369 PF00698 PF16197 PF00109 PF00550 PF08659 PF18369 PF00698 PF16197 PF00109 PF00550 PF08659 PF13602 PF00106 PF14765 PF00698 PF16197 PF00109 PF00550 PF08659 PF14765 PF18369 PF13602 PF00106 PF00109 PF16197 PF02801 PF00109 PF00550 PF14765 PF00698 PF16197 PF00109 PF00550 PF08659 PF18369 PF00698 PF16197 PF00109 PF00550 PF08659 PF18369 PF00698 PF16197 PF00109 PF00550 PF00109 PF18369 PF00109 PF16197 PF00109 PF00550 PF08659 PF00698 PF16197 PF00109 PF00550 PF08659 PF18369 PF00698 PF16197 PF00109 PF00550 PF08659 PF18369 PF00106 PF00109 PF16197 PF00109 PF00550 PF00698 PF00106 PF14765 PF00698 PF16197 PF00109 PF08659 PF14765 PF00698 PF16197 PF02801 PF00109 PF00550 PF08659 PF08659 PF01370 PF00106 PF00109 PF16197 PF00109 PF00550 PF08659 PF13602 PF08659 PF14765 PF00698 PF16197 PF00109 PF00550 PF08659 PF00109 PF00107 PF18369 PF00698 PF16197 PF02801 PF00109 PF08990 PF00550 PF08659 PF13602 PF08240 PF18369 PF14765 PF00698 PF16197 PF00109 PF00550 PF08659 PF18369 PF00109 PF16197 PF00109 PF00550 PF08659 PF13602 PF00106 PF08240 PF14765 PF00109 PF16197 PF00109 PF00067 PF00201 PF00201 PF00483 PF00005 PF00664 PF00440 PF00201 PF01370 PF00728 PF02838 PF01041 PF00201 PF01041 PF06722 PF03559 PF00908 PF00201 PF16363 PF00296 PF08484 PF13489 PF08421 PF13191 PF13191 PF13191 PF13191 PF00196 PF13191,"['PF00749', 'PF00698', 'PF00550', 'PF08659', 'PF00109', 'PF14765', 'PF00106', 'PF00109', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF08990', 'PF00550', 'PF08659', 'PF18369', 'PF08659', 'PF18369', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF18369', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF13602', 'PF00106', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF14765', 'PF18369', 'PF13602', 'PF00106', 'PF00109', 'PF16197', 'PF02801', 'PF00109', 'PF00550', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF18369', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF18369', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF00109', 'PF18369', 'PF00109', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF18369', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF18369', 'PF00106', 'PF00109', 'PF16197', 'PF00109', 'PF00550', 'PF00698', 'PF00106', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF00550', 'PF08659', 'PF08659', 'PF01370', 'PF00106', 'PF00109', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF13602', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF00109', 'PF00107', 'PF18369', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF08990', 'PF00550', 'PF08659', 'PF13602', 'PF08240', 'PF18369', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF18369', 'PF00109', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF13602', 'PF00106', 'PF08240', 'PF14765', 'PF00109', 'PF16197', 'PF00109', 'PF00067', 'PF00201', 'PF00201', 'PF00483', 'PF00005', 'PF00664', 'PF00440', 'PF00201', 'PF01370', 'PF00728', 'PF02838', 'PF01041', 'PF00201', 'PF01041', 'PF06722', 'PF03559', 'PF00908', 'PF00201', 'PF16363', 'PF00296', 'PF08484', 'PF13489', 'PF08421', 'PF13191', 'PF13191', 'PF13191', 'PF13191', 'PF00196', 'PF13191']"
BGC0000003,Polyketide,PF00755 PF00698 PF08242 PF14765 PF00698 PF16197 PF02801 PF00109 PF02771 PF02770 PF00441 PF00067 PF02558 PF08546 PF00378,"['PF00755', 'PF00698', 'PF08242', 'PF14765', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF02771', 'PF02770', 'PF00441', 'PF00067', 'PF02558', 'PF08546', 'PF00378']"
BGC0000004,Polyketide,PF07690 PF00975 PF14765 PF16073 PF02801 PF00109 PF16073 PF00106 PF01648 PF02801 PF00109 PF18314 PF18325 PF00698 PF08354 PF17951 PF01575 PF00698 PF08493 PF00106 PF07859 PF00248 PF13561 PF00067 PF00067 PF00067 PF13460 PF00891 PF00891 PF00067 PF00732 PF05199 PF00067 PF00743 PF13460 PF14027,"['PF07690', 'PF00975', 'PF14765', 'PF16073', 'PF02801', 'PF00109', 'PF16073', 'PF00106', 'PF01648', 'PF02801', 'PF00109', 'PF18314', 'PF18325', 'PF00698', 'PF08354', 'PF17951', 'PF01575', 'PF00698', 'PF08493', 'PF00106', 'PF07859', 'PF00248', 'PF13561', 'PF00067', 'PF00067', 'PF00067', 'PF13460', 'PF00891', 'PF00891', 'PF00067', 'PF00732', 'PF05199', 'PF00067', 'PF00743', 'PF13460', 'PF14027']"
BGC0000006,Polyketide,PF07690 PF00975 PF14765 PF16073 PF02801 PF00109 PF16073 PF00106 PF01648 PF02801 PF00109 PF18314 PF18325 PF00698 PF08354 PF17951 PF01575 PF00698 PF08493 PF00106 PF07859 PF00248 PF13561 PF00067 PF00067 PF00067 PF13460 PF00891 PF00891 PF00067 PF00732 PF05199 PF00067 PF00743 PF13460 PF14027,"['PF07690', 'PF00975', 'PF14765', 'PF16073', 'PF02801', 'PF00109', 'PF16073', 'PF00106', 'PF01648', 'PF02801', 'PF00109', 'PF18314', 'PF18325', 'PF00698', 'PF08354', 'PF17951', 'PF01575', 'PF00698', 'PF08493', 'PF00106', 'PF07859', 'PF00248', 'PF13561', 'PF00067', 'PF00067', 'PF00067', 'PF13460', 'PF00891', 'PF00891', 'PF00067', 'PF00732', 'PF05199', 'PF00067', 'PF00743', 'PF13460', 'PF14027']"
BGC0000007,Polyketide,PF00248 PF00067 PF07690 PF00975 PF14765 PF16073 PF02801 PF00109 PF16073 PF00106 PF01648 PF02801 PF00109 PF18314 PF18325 PF00698 PF08354 PF17951 PF01575 PF00698 PF08493 PF00106 PF07859 PF00248 PF13561 PF00067 PF00067 PF00067 PF13460 PF00891 PF00891 PF00067 PF00732 PF05199 PF00067 PF00743 PF13460 PF14027,"['PF00248', 'PF00067', 'PF07690', 'PF00975', 'PF14765', 'PF16073', 'PF02801', 'PF00109', 'PF16073', 'PF00106', 'PF01648', 'PF02801', 'PF00109', 'PF18314', 'PF18325', 'PF00698', 'PF08354', 'PF17951', 'PF01575', 'PF00698', 'PF08493', 'PF00106', 'PF07859', 'PF00248', 'PF13561', 'PF00067', 'PF00067', 'PF00067', 'PF13460', 'PF00891', 'PF00891', 'PF00067', 'PF00732', 'PF05199', 'PF00067', 'PF00743', 'PF13460', 'PF14027']"
BGC0000008,Polyketide,PF07690 PF00975 PF14765 PF16073 PF02801 PF00109 PF16073 PF00106 PF01648 PF02801 PF00109 PF18314 PF18325 PF00698 PF08354 PF17951 PF01575 PF00698 PF08493 PF00106 PF07859 PF00248 PF13561 PF00067 PF00067 PF00067 PF13460 PF00891 PF00891 PF00067 PF00732 PF05199 PF00067 PF00743 PF13460 PF14027,"['PF07690', 'PF00975', 'PF14765', 'PF16073', 'PF02801', 'PF00109', 'PF16073', 'PF00106', 'PF01648', 'PF02801', 'PF00109', 'PF18314', 'PF18325', 'PF00698', 'PF08354', 'PF17951', 'PF01575', 'PF00698', 'PF08493', 'PF00106', 'PF07859', 'PF00248', 'PF13561', 'PF00067', 'PF00067', 'PF00067', 'PF13460', 'PF00891', 'PF00891', 'PF00067', 'PF00732', 'PF05199', 'PF00067', 'PF00743', 'PF13460', 'PF14027']"
BGC0000009,Polyketide,PF00248 PF00067 PF07690 PF00975 PF14765 PF16073 PF02801 PF00109 PF16073 PF00106 PF01648 PF02801 PF18325 PF00109 PF18314 PF18325 PF00698 PF08354 PF17951 PF01575 PF00698 PF08493 PF08493 PF00106 PF07859 PF00248 PF13561 PF00067 PF00067 PF00067 PF13460 PF00891 PF00891 PF00067 PF00732 PF05199 PF00067 PF00743 PF13460 PF14027,"['PF00248', 'PF00067', 'PF07690', 'PF00975', 'PF14765', 'PF16073', 'PF02801', 'PF00109', 'PF16073', 'PF00106', 'PF01648', 'PF02801', 'PF18325', 'PF00109', 'PF18314', 'PF18325', 'PF00698', 'PF08354', 'PF17951', 'PF01575', 'PF00698', 'PF08493', 'PF08493', 'PF00106', 'PF07859', 'PF00248', 'PF13561', 'PF00067', 'PF00067', 'PF00067', 'PF13460', 'PF00891', 'PF00891', 'PF00067', 'PF00732', 'PF05199', 'PF00067', 'PF00743', 'PF13460', 'PF14027']"
BGC0000010,Polyketide,PF07690 PF00106 PF01648 PF02801 PF00109 PF18314 PF18325 PF00698 PF08354 PF17951 PF01575 PF00698 PF08493 PF00106 PF07859 PF00248 PF13561 PF00067 PF00067 PF00067 PF13460 PF00891 PF00891 PF00067 PF00732 PF05199 PF00067 PF00743 PF13460 PF14027,"['PF07690', 'PF00106', 'PF01648', 'PF02801', 'PF00109', 'PF18314', 'PF18325', 'PF00698', 'PF08354', 'PF17951', 'PF01575', 'PF00698', 'PF08493', 'PF00106', 'PF07859', 'PF00248', 'PF13561', 'PF00067', 'PF00067', 'PF00067', 'PF13460', 'PF00891', 'PF00891', 'PF00067', 'PF00732', 'PF05199', 'PF00067', 'PF00743', 'PF13460', 'PF14027']"
BGC0000011,Polyketide,PF00248 PF13561 PF00043 PF02798 PF07110 PF00067 PF00975 PF00550 PF14765 PF00975 PF02801 PF00109 PF00550 PF16073 PF00067 PF01328 PF14087 PF00106 PF08493 PF00067 PF00106 PF07859 PF02801 PF00109 PF18314 PF18325 PF00698 PF08354 PF17951 PF08354 PF00698 PF00067 PF08592 PF00732 PF05199 PF13460 PF00891 PF13460 PF14027,"['PF00248', 'PF13561', 'PF00043', 'PF02798', 'PF07110', 'PF00067', 'PF00975', 'PF00550', 'PF14765', 'PF00975', 'PF02801', 'PF00109', 'PF00550', 'PF16073', 'PF00067', 'PF01328', 'PF14087', 'PF00106', 'PF08493', 'PF00067', 'PF00106', 'PF07859', 'PF02801', 'PF00109', 'PF18314', 'PF18325', 'PF00698', 'PF08354', 'PF17951', 'PF08354', 'PF00698', 'PF00067', 'PF08592', 'PF00732', 'PF05199', 'PF13460', 'PF00891', 'PF13460', 'PF14027']"
