ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
WP_004919774.1,NC_020125.1,acetyl-CoA hydrolase/transferase C-terminal domain-containing protein,2983,4263,+,AcetylCoA_hyd_C,PF13336.9,3e-61,1,1e+04,64,85,128,147,123,152,0.63
WP_004919774.1,NC_020125.1,acetyl-CoA hydrolase/transferase C-terminal domain-containing protein,2983,4263,+,AcetylCoA_hyd_C,PF13336.9,3e-61,7.3e-65,7.2e-61,1,154,266,418,266,418,0.98
WP_004919774.1,NC_020125.1,acetyl-CoA hydrolase/transferase C-terminal domain-containing protein,2983,4263,+,AcetylCoA_hydro,PF02550.18,2.5e-25,4.7e-29,4.6e-25,10,194,5,177,1,180,0.91
WP_004919778.1,NC_020125.1,asparagine--tRNA ligase,4428,5876,+,tRNA-synt_2,PF00152.23,1.6e-85,1.1e-89,2.1e-85,3,313,117,476,115,477,0.95
WP_004919780.1,NC_020125.1,RNA polymerase factor sigma-54,5879,7348,+,Sigma54_CBD,PF04963.16,1.3e-51,0.8,5.2e+03,94,118,22,46,6,76,0.58
WP_004919780.1,NC_020125.1,RNA polymerase factor sigma-54,5879,7348,+,Sigma54_CBD,PF04963.16,1.3e-51,1.9e-55,1.3e-51,3,180,107,308,105,308,0.93
WP_004919780.1,NC_020125.1,RNA polymerase factor sigma-54,5879,7348,+,Sigma54_CBD,PF04963.16,1.3e-51,1.2,8.2e+03,38,119,457,481,445,487,0.59
WP_004919780.1,NC_020125.1,RNA polymerase factor sigma-54,5879,7348,+,Sigma54_DBD,PF04552.16,2.2e-51,7.2e-55,4.7e-51,3,159,330,487,328,488,0.97
WP_004919780.1,NC_020125.1,RNA polymerase factor sigma-54,5879,7348,+,Sigma54_AID,PF00309.23,1.9e-11,2.8e-15,1.9e-11,1,45,3,47,3,48,0.98
WP_004919780.1,NC_020125.1,RNA polymerase factor sigma-54,5879,7348,+,Sigma54_AID,PF00309.23,1.9e-11,1,6.6e+03,25,36,243,254,241,256,0.66
WP_004919780.1,NC_020125.1,RNA polymerase factor sigma-54,5879,7348,+,Sigma54_AID,PF00309.23,1.9e-11,0.22,1.4e+03,26,39,429,442,427,443,0.84
WP_004919782.1,NC_020125.1,TonB-dependent receptor,7596,9713,+,TonB_dep_Rec,PF00593.27,1.1e-28,0.28,5.5e+03,48,84,162,199,73,247,0.47
WP_004919782.1,NC_020125.1,TonB-dependent receptor,7596,9713,+,TonB_dep_Rec,PF00593.27,1.1e-28,5.7e-33,1.1e-28,21,470,249,703,226,703,0.73
WP_015345276.1,NC_020125.1,WYL domain-containing protein,15655,16521,-,WYL,PF13280.9,9.1e-26,6.5e-30,1.3e-25,1,170,102,282,102,284,0.87
WP_004918508.1,NC_020125.1,IS982-like element ISRa1 family transposase,16624,17502,+,DDE_Tnp_1,PF01609.24,7.7e-28,1.4e-31,1.4e-27,3,212,98,269,96,271,0.92
WP_004918508.1,NC_020125.1,IS982-like element ISRa1 family transposase,16624,17502,+,DDE_Tnp_1_3,PF13612.9,9.4e-20,2e-23,1.9e-19,4,148,98,248,95,254,0.86
WP_004916854.1,NC_020125.1,phospholipase D-like domain-containing protein,17608,18132,-,PLDc_2,PF13091.9,1.1e-11,6.8e-16,1.3e-11,21,133,43,152,13,152,0.79
WP_004916852.1,NC_020125.1,RNA ligase family protein,18151,18864,-,RNA_ligase,PF09414.13,2.3e-13,1.5e-17,2.9e-13,2,165,45,209,44,209,0.78
WP_013447129.1,NC_020125.1,VanZ family protein,24081,24401,-,VanZ,PF04892.15,5.6e-11,3.4e-15,6.7e-11,36,120,13,101,3,104,0.84
WP_004916832.1,NC_020125.1,glycine cleavage system protein GcvH,24430,24807,-,GCV_H,PF01597.22,2.7e-43,1.5e-47,3e-43,1,118,7,123,7,125,0.98
WP_004916829.1,NC_020125.1,dihydroneopterin aldolase,24916,25278,-,FolB,PF02152.21,1.6e-28,9.1e-33,1.8e-28,1,110,5,115,5,116,0.97
WP_004916821.1,NC_020125.1,guanylate kinase,25734,26294,-,Guanylate_kin,PF00625.24,3.2e-43,1.8e-47,3.5e-43,3,181,3,183,1,184,0.96
WP_004916819.1,NC_020125.1,YicC family protein,26317,27165,-,YicC_N,PF03755.16,1.9e-35,2.5e-39,2.5e-35,4,151,1,149,1,150,0.90
WP_004916819.1,NC_020125.1,YicC family protein,26317,27165,-,YicC_N,PF03755.16,1.9e-35,0.5,4.9e+03,81,81,194,194,157,237,0.56
WP_004916819.1,NC_020125.1,YicC family protein,26317,27165,-,DUF1732,PF08340.14,8.3e-29,0.27,2.7e+03,43,76,33,66,11,83,0.63
WP_004916819.1,NC_020125.1,YicC family protein,26317,27165,-,DUF1732,PF08340.14,8.3e-29,0.51,5e+03,19,33,80,94,68,97,0.71
WP_004916819.1,NC_020125.1,YicC family protein,26317,27165,-,DUF1732,PF08340.14,8.3e-29,8.5e-33,8.3e-29,1,84,198,281,198,282,0.99
WP_004916814.1,NC_020125.1,enoyl-CoA hydratase-related protein,27213,28013,-,ECH_1,PF00378.23,9.2e-58,1.1e-61,1.1e-57,11,250,20,265,12,266,0.93
WP_004916814.1,NC_020125.1,enoyl-CoA hydratase-related protein,27213,28013,-,ECH_2,PF16113.8,6.2e-39,1.7e-37,1.6e-33,3,178,17,195,15,206,0.92
