cluster_id,label,n_tokens
BGC0000001,Polyketide,80
BGC0000002,Polyketide,182
BGC0000003,Polyketide,15
BGC0000004,Polyketide,36
BGC0000006,Polyketide,36
BGC0000007,Polyketide,38
BGC0000008,Polyketide,36
BGC0000009,Polyketide,40
BGC0000010,Polyketide,30
BGC0000011,Polyketide,39
BGC0000012,Polyketide,13
BGC0000013,Polyketide,6
BGC0000014,Polyketide,112
BGC0000016,Other,3
BGC0000017,Polyketide,35
BGC0000018,Polyketide,57
BGC0000019,Polyketide,17
BGC0000020,Polyketide,93
BGC0000021,Polyketide,145
BGC0000022,Polyketide,22
BGC0000023,Polyketide,69
BGC0000024,Polyketide,35
BGC0000025,Polyketide,8
BGC0000026,Saccharide,34
BGC0000027,Polyketide,37
BGC0000028,Polyketide,85
BGC0000029,Polyketide,94
BGC0000030,Polyketide,14
BGC0000031,Polyketide,87
BGC0000032,Polyketide,74
BGC0000033,Polyketide,75
BGC0000034,NRP,178
BGC0000035,Polyketide,99
BGC0000036,Polyketide,123
BGC0000037,Polyketide,9
BGC0000038,Polyketide,64
BGC0000039,Polyketide,27
BGC0000040,Polyketide,127
BGC0000041,Polyketide,20
BGC0000042,Polyketide,112
BGC0000043,Polyketide,20
BGC0000044,Polyketide,29
BGC0000045,Polyketide,19
BGC0000046,Polyketide,11
BGC0000047,Polyketide,80
BGC0000048,Polyketide,23
BGC0000050,Polyketide,61
BGC0000051,Polyketide,45
BGC0000052,Polyketide,202
BGC0000053,Polyketide,84
BGC0000054,Polyketide,75
BGC0000055,Polyketide,64
BGC0000056,Polyketide,5
BGC0000057,Polyketide,18
BGC0000058,Polyketide,94
BGC0000059,Polyketide,101
BGC0000060,Polyketide,78
BGC0000062,Polyketide,32
BGC0000063,Polyketide,33
BGC0000064,NRP,13
BGC0000065,Polyketide,37
BGC0000066,Polyketide,82
BGC0000067,Polyketide,60
BGC0000068,Polyketide,27
BGC0000069,Polyketide,69
BGC0000070,Polyketide,19
BGC0000072,Polyketide,45
BGC0000073,Polyketide,134
BGC0000074,Polyketide,95
BGC0000075,Polyketide,83
BGC0000076,Polyketide,20
BGC0000077,Polyketide,23
BGC0000078,Polyketide,124
BGC0000079,Polyketide,94
BGC0000080,Polyketide,86
BGC0000081,NRP,128
BGC0000082,Polyketide,118
BGC0000083,Polyketide,64
BGC0000084,Polyketide,124
BGC0000085,Polyketide,74
BGC0000086,Polyketide,96
BGC0000087,Polyketide,125
BGC0000088,Polyketide,28
BGC0000090,Polyketide,92
BGC0000091,Polyketide,35
BGC0000092,Polyketide,56
BGC0000093,Polyketide,193
BGC0000094,Polyketide,51
BGC0000096,Polyketide,68
BGC0000097,Polyketide,99
BGC0000098,Polyketide,24
BGC0000099,Polyketide,8
BGC0000100,Polyketide,127
BGC0000102,Polyketide,62
BGC0000103,Polyketide,154
BGC0000104,Polyketide,13
BGC0000105,Polyketide,129
BGC0000106,Polyketide,116
BGC0000107,Polyketide,8
BGC0000108,Polyketide,107
BGC0000109,Polyketide,101
BGC0000110,Polyketide,47
BGC0000111,Polyketide,38
BGC0000112,Polyketide,53
BGC0000113,Polyketide,46
BGC0000114,Polyketide,117
BGC0000115,Polyketide,155
BGC0000116,Polyketide,152
BGC0000117,Polyketide,129
BGC0000118,Polyketide,29
BGC0000119,Polyketide,59
BGC0000120,Polyketide,26
BGC0000121,Polyketide,21
BGC0000122,Polyketide,33
BGC0000123,Polyketide,84
BGC0000124,Polyketide,56
BGC0000125,Polyketide,100
BGC0000126,Polyketide,80
BGC0000127,Polyketide,36
BGC0000128,Polyketide,37
BGC0000129,Polyketide,14
BGC0000130,Polyketide,54
BGC0000131,Polyketide,8
BGC0000132,Polyketide,19
BGC0000133,Polyketide,77
BGC0000134,Polyketide,18
BGC0000135,Polyketide,117
BGC0000136,Polyketide,130
BGC0000137,Polyketide,100
BGC0000138,Polyketide,19
BGC0000140,Polyketide,12
BGC0000141,Polyketide,114
BGC0000142,Polyketide,102
BGC0000143,Polyketide,28
BGC0000144,Polyketide,145
BGC0000145,NRP,33
BGC0000146,Polyketide,15
BGC0000147,Polyketide,93
BGC0000148,Polyketide,102
BGC0000149,Polyketide,124
BGC0000150,NRP,53
BGC0000151,Polyketide,195
BGC0000152,Polyketide,31
BGC0000153,NRP,79
BGC0000154,Polyketide,21
BGC0000156,Polyketide,9
BGC0000157,Polyketide,86
BGC0000158,Polyketide,96
BGC0000159,Polyketide,122
BGC0000160,Polyketide,13
BGC0000161,Polyketide,26
BGC0000162,Polyketide,117
BGC0000163,Polyketide,155
BGC0000164,Polyketide,124
BGC0000165,Polyketide,90
BGC0000166,Polyketide,46
BGC0000167,Polyketide,69
BGC0000168,Polyketide,27
BGC0000170,Polyketide,11
BGC0000171,Polyketide,59
BGC0000172,Polyketide,50
BGC0000173,Polyketide,77
BGC0000174,Polyketide,88
BGC0000175,Polyketide,47
BGC0000176,Polyketide,93
BGC0000177,Polyketide,73
BGC0000178,Polyketide,104
BGC0000179,Polyketide,127
BGC0000180,Polyketide,35
BGC0000181,Polyketide,70
BGC0000182,Polyketide,83
BGC0000184,Polyketide,153
BGC0000185,Polyketide,61
BGC0000186,NRP,110
BGC0000187,Polyketide,72
BGC0000188,Alkaloid,36
BGC0000189,Polyketide,7
BGC0000190,Polyketide,30
BGC0000191,Polyketide,27
BGC0000192,Polyketide,16
BGC0000193,Polyketide,13
BGC0000194,Polyketide,26
BGC0000195,Polyketide,35
BGC0000196,Polyketide,6
BGC0000197,Polyketide,31
BGC0000198,Polyketide,35
BGC0000199,Polyketide,41
BGC0000200,Polyketide,35
BGC0000201,Polyketide,26
BGC0000202,Polyketide,44
BGC0000203,Polyketide,51
BGC0000204,Polyketide,12
BGC0000205,Polyketide,6
BGC0000207,Polyketide,19
BGC0000208,Polyketide,28
BGC0000209,Polyketide,40
BGC0000210,Polyketide,39
BGC0000211,Polyketide,38
BGC0000212,Polyketide,38
BGC0000213,Polyketide,44
BGC0000214,Polyketide,11
BGC0000215,Polyketide,6
BGC0000216,Polyketide,44
BGC0000217,Polyketide,10
BGC0000218,Polyketide,9
BGC0000219,Polyketide,26
BGC0000220,Polyketide,23
BGC0000221,Polyketide,23
BGC0000222,Polyketide,45
BGC0000223,Polyketide,69
BGC0000224,Polyketide,35
BGC0000225,Polyketide,26
BGC0000226,Polyketide,31
BGC0000227,Polyketide,33
BGC0000229,Polyketide,37
BGC0000230,Polyketide,29
BGC0000231,Polyketide,6
BGC0000232,Polyketide,29
BGC0000233,Polyketide,48
BGC0000234,Polyketide,11
BGC0000235,Polyketide,23
BGC0000236,Polyketide,33
BGC0000237,Polyketide,18
BGC0000238,Polyketide,61
BGC0000239,Polyketide,33
BGC0000240,Polyketide,55
BGC0000241,Polyketide,48
BGC0000242,Polyketide,45
BGC0000243,Polyketide,17
BGC0000244,Polyketide,7
BGC0000245,Polyketide,38
BGC0000247,Polyketide,38
BGC0000248,Polyketide,25
BGC0000249,Polyketide,8
BGC0000252,Polyketide,15
BGC0000253,Polyketide,21
BGC0000254,Polyketide,22
BGC0000255,Polyketide,9
BGC0000256,Polyketide,26
BGC0000257,Polyketide,36
BGC0000258,Polyketide,18
BGC0000259,Polyketide,22
BGC0000260,Polyketide,32
BGC0000261,Polyketide,19
BGC0000262,Polyketide,52
BGC0000263,Polyketide,33
BGC0000264,Polyketide,20
BGC0000265,Polyketide,15
BGC0000266,Polyketide,25
BGC0000267,Polyketide,34
BGC0000268,Polyketide,74
BGC0000269,Polyketide,53
BGC0000270,Polyketide,43
BGC0000271,Polyketide,14
BGC0000272,Polyketide,5
BGC0000273,Polyketide,37
BGC0000274,Polyketide,40
BGC0000275,Polyketide,14
BGC0000277,Polyketide,10
BGC0000278,Polyketide,5
BGC0000279,Polyketide,56
BGC0000280,Polyketide,5
BGC0000281,Polyketide,7
BGC0000282,Polyketide,4
BGC0000283,Other,39
BGC0000284,Polyketide,12
BGC0000285,Polyketide,9
BGC0000286,Polyketide,16
BGC0000287,NRP,12
BGC0000288,NRP,66
BGC0000289,NRP,88
BGC0000290,NRP,69
BGC0000291,NRP,112
BGC0000292,NRP,13
BGC0000293,NRP,9
BGC0000294,NRP,22
BGC0000295,NRP,10
BGC0000296,NRP,50
BGC0000297,NRP,29
BGC0000298,NRP,26
BGC0000300,NRP,41
BGC0000301,NRP,29
BGC0000302,NRP,39
BGC0000303,NRP,26
BGC0000304,NRP,25
BGC0000305,NRP,46
BGC0000306,NRP,35
BGC0000307,NRP,43
BGC0000308,NRP,8
BGC0000309,NRP,16
BGC0000310,NRP,57
BGC0000311,NRP,68
BGC0000312,NRP,22
BGC0000313,NRP,20
BGC0000314,NRP,33
BGC0000315,NRP,88
BGC0000316,NRP,41
BGC0000319,NRP,31
BGC0000320,NRP,28
BGC0000321,NRP,18
BGC0000322,NRP,37
BGC0000323,NRP,37
BGC0000324,NRP,26
BGC0000325,NRP,23
BGC0000326,NRP,48
BGC0000327,NRP,29
BGC0000328,NRP,5
BGC0000329,NRP,18
BGC0000330,NRP,37
BGC0000331,NRP,36
BGC0000332,NRP,34
BGC0000333,NRP,57
BGC0000334,NRP,87
BGC0000335,NRP,40
BGC0000336,NRP,66
BGC0000337,NRP,60
BGC0000339,NRP,40
BGC0000340,NRP,19
BGC0000341,NRP,123
BGC0000342,NRP,7
BGC0000343,NRP,6
BGC0000344,NRP,88
BGC0000345,NRP,27
BGC0000346,NRP,36
BGC0000347,NRP,22
BGC0000348,NRP,7
BGC0000349,NRP,26
BGC0000350,NRP,33
BGC0000351,NRP,26
BGC0000352,NRP,25
BGC0000353,NRP,34
BGC0000354,NRP,76
BGC0000355,NRP,14
BGC0000356,NRP,23
BGC0000357,NRP,15
BGC0000359,NRP,26
BGC0000360,NRP,48
BGC0000362,NRP,56
BGC0000363,NRP,33
BGC0000364,NRP,35
BGC0000365,NRP,57
BGC0000366,NRP,37
BGC0000367,NRP,69
BGC0000368,NRP,23
BGC0000369,NRP,64
BGC0000371,NRP,24
BGC0000372,NRP,13
BGC0000373,NRP,16
BGC0000374,NRP,49
BGC0000375,NRP,8
BGC0000376,NRP,41
BGC0000377,NRP,24
BGC0000378,NRP,54
BGC0000379,NRP,95
BGC0000380,NRP,76
BGC0000381,NRP,42
BGC0000382,NRP,12
BGC0000383,NRP,55
BGC0000384,NRP,14
BGC0000385,NRP,50
BGC0000386,NRP,29
BGC0000387,NRP,11
BGC0000388,NRP,44
BGC0000391,NRP,19
BGC0000392,NRP,26
BGC0000393,NRP,56
BGC0000394,NRP,49
BGC0000395,NRP,29
BGC0000396,NRP,15
BGC0000397,NRP,38
BGC0000398,NRP,48
BGC0000399,NRP,52
BGC0000400,NRP,59
BGC0000401,NRP,15
BGC0000402,NRP,43
BGC0000403,NRP,45
BGC0000404,NRP,23
BGC0000405,NRP,23
BGC0000406,NRP,36
BGC0000407,NRP,58
BGC0000408,NRP,46
BGC0000409,NRP,34
BGC0000410,NRP,13
BGC0000411,NRP,56
BGC0000412,NRP,10
BGC0000413,NRP,169
BGC0000414,NRP,36
BGC0000415,NRP,39
BGC0000416,NRP,13
BGC0000417,NRP,14
BGC0000418,NRP,67
BGC0000419,NRP,67
BGC0000420,NRP,13
BGC0000421,NRP,15
BGC0000422,NRP,58
BGC0000423,NRP,37
BGC0000424,NRP,45
BGC0000425,NRP,80
BGC0000426,NRP,12
BGC0000427,NRP,6
BGC0000428,NRP,34
BGC0000429,NRP,90
BGC0000430,NRP,22
BGC0000431,NRP,58
BGC0000432,NRP,26
BGC0000433,NRP,51
BGC0000434,NRP,66
BGC0000435,NRP,37
BGC0000436,NRP,23
BGC0000437,NRP,136
BGC0000438,NRP,90
BGC0000439,NRP,90
BGC0000440,NRP,95
BGC0000441,NRP,86
BGC0000442,NRP,4
BGC0000443,NRP,45
BGC0000444,NRP,20
BGC0000445,NRP,72
BGC0000446,NRP,31
BGC0000447,NRP,80
BGC0000448,NRP,23
BGC0000449,NRP,59
BGC0000450,NRP,40
BGC0000451,NRP,13
BGC0000452,NRP,52
BGC0000453,NRP,40
BGC0000454,NRP,19
BGC0000455,NRP,65
BGC0000457,NRP,12
BGC0000458,NRP,39
BGC0000459,NRP,113
BGC0000460,NRP,21
BGC0000461,NRP,63
BGC0000464,NRP,121
BGC0000465,NRP,9
BGC0000466,NRP,31
BGC0000467,NRP,15
BGC0000468,RiPP,7
BGC0000469,RiPP,26
BGC0000470,RiPP,6
BGC0000471,RiPP,13
BGC0000472,RiPP,17
BGC0000473,RiPP,12
BGC0000474,RiPP,12
BGC0000475,RiPP,12
BGC0000476,RiPP,1
BGC0000477,RiPP,10
BGC0000478,RiPP,1
BGC0000479,RiPP,19
BGC0000480,RiPP,11
BGC0000481,RiPP,13
BGC0000482,RiPP,1
BGC0000483,RiPP,11
BGC0000484,RiPP,6
BGC0000485,RiPP,1
BGC0000486,RiPP,3
BGC0000487,RiPP,5
BGC0000488,RiPP,10
BGC0000489,RiPP,3
BGC0000490,RiPP,2
BGC0000491,RiPP,3
BGC0000494,RiPP,5
BGC0000495,RiPP,31
BGC0000496,RiPP,6
BGC0000497,RiPP,9
BGC0000498,RiPP,13
BGC0000499,RiPP,4
BGC0000500,RiPP,8
BGC0000501,RiPP,4
BGC0000502,RiPP,18
BGC0000503,RiPP,16
BGC0000504,RiPP,8
BGC0000506,RiPP,12
BGC0000507,RiPP,6
BGC0000508,RiPP,10
BGC0000509,RiPP,11
BGC0000510,RiPP,1
BGC0000511,RiPP,12
BGC0000513,RiPP,6
BGC0000514,RiPP,11
BGC0000515,RiPP,9
BGC0000516,RiPP,11
BGC0000517,RiPP,8
BGC0000518,RiPP,8
BGC0000519,RiPP,5
BGC0000520,RiPP,7
BGC0000521,RiPP,12
BGC0000522,RiPP,5
BGC0000523,RiPP,14
BGC0000525,RiPP,3
BGC0000526,RiPP,20
BGC0000527,RiPP,13
BGC0000528,RiPP,7
BGC0000529,RiPP,15
BGC0000530,RiPP,9
BGC0000531,RiPP,8
BGC0000532,RiPP,3
BGC0000533,RiPP,8
BGC0000534,RiPP,9
BGC0000535,RiPP,10
BGC0000536,RiPP,10
BGC0000537,RiPP,13
BGC0000538,RiPP,6
BGC0000539,RiPP,11
BGC0000540,RiPP,11
BGC0000541,RiPP,5
BGC0000542,RiPP,5
BGC0000543,RiPP,7
BGC0000544,RiPP,9
BGC0000545,RiPP,15
BGC0000546,RiPP,10
BGC0000547,RiPP,39
BGC0000548,RiPP,11
BGC0000549,RiPP,10
BGC0000550,RiPP,5
BGC0000551,RiPP,4
BGC0000552,RiPP,9
BGC0000553,RiPP,6
BGC0000554,RiPP,5
BGC0000555,RiPP,9
BGC0000556,RiPP,9
BGC0000557,RiPP,11
BGC0000558,RiPP,5
BGC0000559,RiPP,15
BGC0000560,RiPP,7
BGC0000561,RiPP,15
BGC0000562,RiPP,1
BGC0000563,RiPP,4
BGC0000564,RiPP,7
BGC0000565,RiPP,12
BGC0000566,RiPP,7
BGC0000568,RiPP,3
BGC0000569,RiPP,7
BGC0000570,RiPP,2
BGC0000571,RiPP,5
BGC0000572,RiPP,3
BGC0000573,RiPP,6
BGC0000574,RiPP,4
BGC0000575,RiPP,5
BGC0000576,RiPP,5
BGC0000577,RiPP,8
BGC0000578,RiPP,6
BGC0000579,RiPP,6
BGC0000580,RiPP,2
BGC0000581,RiPP,3
BGC0000582,RiPP,9
BGC0000583,RiPP,5
BGC0000584,RiPP,3
BGC0000585,RiPP,7
BGC0000586,RiPP,11
BGC0000587,RiPP,9
BGC0000588,RiPP,10
BGC0000589,RiPP,7
BGC0000590,RiPP,5
BGC0000591,RiPP,2
BGC0000592,RiPP,3
BGC0000594,RiPP,8
BGC0000595,RiPP,16
BGC0000596,RiPP,17
BGC0000597,RiPP,7
BGC0000598,RiPP,10
BGC0000599,RiPP,5
BGC0000600,RiPP,7
BGC0000601,RiPP,3
BGC0000602,RiPP,5
BGC0000603,RiPP,15
BGC0000604,RiPP,14
BGC0000605,RiPP,8
BGC0000606,RiPP,9
BGC0000607,RiPP,11
BGC0000608,RiPP,1
BGC0000609,RiPP,37
BGC0000610,RiPP,25
BGC0000611,RiPP,25
BGC0000612,RiPP,16
BGC0000613,RiPP,10
BGC0000614,RiPP,18
BGC0000615,RiPP,31
BGC0000616,RiPP,5
BGC0000617,RiPP,7
BGC0000618,RiPP,2
BGC0000619,RiPP,7
BGC0000620,RiPP,17
BGC0000621,RiPP,1
BGC0000622,RiPP,2
BGC0000623,RiPP,2
BGC0000624,RiPP,14
BGC0000625,RiPP,10
BGC0000626,RiPP,8
BGC0000627,RiPP,9
BGC0000628,RiPP,8
BGC0000630,Terpene,6
BGC0000631,Terpene,5
BGC0000632,Terpene,19
BGC0000633,Terpene,17
BGC0000634,Terpene,11
BGC0000635,Terpene,9
BGC0000636,Terpene,11
BGC0000637,Terpene,6
BGC0000638,Terpene,5
BGC0000639,Terpene,5
BGC0000640,Terpene,5
BGC0000641,Terpene,5
BGC0000642,Terpene,6
BGC0000643,Terpene,11
BGC0000644,Terpene,6
BGC0000645,Terpene,6
BGC0000646,Terpene,4
BGC0000647,Terpene,2
BGC0000648,Terpene,9
BGC0000649,Terpene,9
BGC0000650,Terpene,7
BGC0000651,Terpene,29
BGC0000652,Terpene,21
BGC0000653,Terpene,20
BGC0000654,Terpene,39
BGC0000656,Terpene,3
BGC0000657,Terpene,5
BGC0000658,Terpene,2
BGC0000659,Terpene,2
BGC0000660,Terpene,2
BGC0000661,Terpene,6
BGC0000662,Terpene,12
BGC0000663,Terpene,17
BGC0000664,Terpene,8
BGC0000665,Terpene,18
BGC0000666,Terpene,25
BGC0000667,Terpene,4
BGC0000668,Terpene,33
BGC0000669,Terpene,4
BGC0000670,Terpene,5
BGC0000671,Terpene,7
BGC0000672,Terpene,13
BGC0000673,Terpene,3
BGC0000674,Terpene,4
BGC0000675,Terpene,4
BGC0000676,Terpene,4
BGC0000677,Terpene,3
BGC0000678,Terpene,13
BGC0000679,Terpene,45
BGC0000682,Terpene,14
BGC0000683,Terpene,1
BGC0000684,Polyketide,15
BGC0000685,Terpene,5
BGC0000686,Terpene,9
BGC0000687,Terpene,2
BGC0000688,Terpene,3
BGC0000689,Saccharide,35
BGC0000690,Saccharide,16
BGC0000691,Saccharide,33
BGC0000692,Saccharide,34
BGC0000693,Saccharide,23
BGC0000694,Saccharide,13
BGC0000695,Saccharide,43
BGC0000696,Saccharide,61
BGC0000698,Saccharide,24
BGC0000699,Saccharide,27
BGC0000700,Saccharide,57
BGC0000701,Saccharide,3
BGC0000702,Saccharide,26
BGC0000703,Saccharide,34
BGC0000704,Saccharide,44
BGC0000705,Saccharide,40
BGC0000706,Saccharide,20
BGC0000707,Saccharide,4
BGC0000708,Saccharide,25
BGC0000709,Saccharide,32
BGC0000711,Saccharide,21
BGC0000712,Saccharide,36
BGC0000713,Saccharide,20
BGC0000714,Saccharide,38
BGC0000715,Saccharide,14
BGC0000716,Saccharide,17
BGC0000719,Saccharide,17
BGC0000720,Saccharide,12
BGC0000721,Saccharide,37
BGC0000722,Other,34
BGC0000723,Other,23
BGC0000724,Saccharide,20
BGC0000725,Saccharide,15
BGC0000727,Saccharide,29
BGC0000728,Saccharide,18
BGC0000729,Saccharide,17
BGC0000730,Saccharide,21
BGC0000731,Saccharide,21
BGC0000732,Saccharide,23
BGC0000733,Saccharide,24
BGC0000734,Saccharide,14
BGC0000735,Saccharide,10
BGC0000736,Saccharide,9
BGC0000737,Saccharide,6
BGC0000738,Saccharide,5
BGC0000739,Saccharide,8
BGC0000740,Saccharide,5
BGC0000741,Saccharide,5
BGC0000742,Saccharide,3
BGC0000743,Saccharide,3
BGC0000744,Saccharide,5
BGC0000745,Saccharide,5
BGC0000746,Saccharide,5
BGC0000747,Saccharide,5
BGC0000748,Saccharide,5
BGC0000749,Saccharide,2
BGC0000751,Saccharide,5
BGC0000752,Saccharide,6
BGC0000753,Saccharide,13
BGC0000754,Saccharide,6
BGC0000755,Saccharide,6
BGC0000756,Saccharide,6
BGC0000757,Saccharide,5
BGC0000758,Saccharide,20
BGC0000759,Saccharide,24
BGC0000760,Saccharide,31
BGC0000761,Saccharide,28
BGC0000762,Saccharide,21
BGC0000763,Saccharide,20
BGC0000764,Saccharide,14
BGC0000765,Saccharide,14
BGC0000766,Saccharide,27
BGC0000767,Saccharide,22
BGC0000768,Saccharide,28
BGC0000769,Saccharide,12
BGC0000770,Saccharide,11
BGC0000772,Saccharide,13
BGC0000773,Saccharide,14
BGC0000774,Saccharide,40
BGC0000775,Saccharide,25
BGC0000776,Saccharide,15
BGC0000777,Saccharide,10
BGC0000778,Saccharide,7
BGC0000779,Saccharide,5
BGC0000780,Saccharide,59
BGC0000781,Saccharide,18
BGC0000782,Saccharide,22
BGC0000783,Saccharide,10
BGC0000784,Saccharide,21
BGC0000785,Saccharide,20
BGC0000786,Saccharide,10
BGC0000787,Saccharide,11
BGC0000788,Saccharide,22
BGC0000789,Saccharide,12
BGC0000790,Saccharide,12
BGC0000791,Saccharide,11
BGC0000792,Saccharide,18
BGC0000793,Saccharide,11
BGC0000794,Saccharide,19
BGC0000795,Saccharide,28
BGC0000796,Saccharide,25
BGC0000797,Saccharide,26
BGC0000798,Saccharide,7
BGC0000799,Saccharide,29
BGC0000800,Saccharide,13
BGC0000801,Saccharide,30
BGC0000802,Saccharide,11
BGC0000803,Saccharide,17
BGC0000804,Saccharide,36
BGC0000806,Saccharide,70
BGC0000807,Saccharide,31
BGC0000809,Alkaloid,31
BGC0000810,Alkaloid,9
BGC0000811,Alkaloid,10
BGC0000812,Alkaloid,7
BGC0000813,Alkaloid,13
BGC0000814,Alkaloid,41
BGC0000815,Alkaloid,8
BGC0000816,NRP,13
BGC0000817,Alkaloid,7
BGC0000818,NRP,19
BGC0000819,NRP,22
BGC0000820,Alkaloid,9
BGC0000821,Alkaloid,27
BGC0000825,Alkaloid,15
BGC0000826,Alkaloid,18
BGC0000827,Alkaloid,16
BGC0000829,Alkaloid,4
BGC0000830,Other,3
BGC0000831,Alkaloid,4
BGC0000832,Saccharide,32
BGC0000833,Saccharide,39
BGC0000834,Saccharide,27
BGC0000836,Other,14
BGC0000837,Other,17
BGC0000838,Polyketide,36
BGC0000839,Other,22
BGC0000840,Other,17
BGC0000841,Other,10
BGC0000842,Other,31
BGC0000843,Other,17
BGC0000844,Other,13
BGC0000845,Other,34
BGC0000846,Other,9
BGC0000847,Other,25
BGC0000848,Other,2
BGC0000849,Other,3
BGC0000850,Other,3
BGC0000851,Other,6
BGC0000852,Other,2
BGC0000853,Other,4
BGC0000854,Other,6
BGC0000855,Other,3
BGC0000856,Other,4
BGC0000857,Other,6
BGC0000858,Other,4
BGC0000859,Other,4
BGC0000860,Other,7
BGC0000861,Other,21
BGC0000862,Other,28
BGC0000863,Other,20
BGC0000864,Other,39
BGC0000865,Other,29
BGC0000866,Other,8
BGC0000867,Other,6
BGC0000868,Other,12
BGC0000869,Other,16
BGC0000870,Other,4
BGC0000871,Other,9
BGC0000872,Other,29
BGC0000873,Other,28
BGC0000874,Other,25
BGC0000875,Other,21
BGC0000876,Other,10
BGC0000877,Other,41
BGC0000878,Other,6
BGC0000879,Other,13
BGC0000880,Other,14
BGC0000881,Other,11
BGC0000882,Other,8
BGC0000883,Other,20
BGC0000884,Other,2
BGC0000885,Other,15
BGC0000886,Other,16
BGC0000887,Alkaloid,28
BGC0000888,Other,4
BGC0000889,Other,18
BGC0000890,Other,12
BGC0000891,Other,11
BGC0000892,Other,11
BGC0000893,NRP,18
BGC0000894,Other,7
BGC0000895,Other,14
BGC0000896,Other,20
BGC0000897,Other,18
BGC0000898,Saccharide,11
BGC0000899,Saccharide,16
BGC0000900,Other,6
BGC0000901,Other,14
BGC0000902,Polyketide,5
BGC0000903,Other,13
BGC0000904,Other,13
BGC0000905,Other,23
BGC0000906,Other,20
BGC0000907,Other,30
BGC0000908,Other,4
BGC0000909,Other,2
BGC0000910,Other,2
BGC0000911,Other,2
BGC0000912,Other,2
BGC0000913,Other,13
BGC0000914,Other,22
BGC0000915,Other,58
BGC0000916,Other,22
BGC0000917,Other,5
BGC0000918,Other,4
BGC0000919,Other,6
BGC0000920,Other,1
BGC0000921,Other,16
BGC0000922,Other,18
BGC0000923,Other,7
BGC0000924,Other,4
BGC0000925,Other,19
BGC0000926,Other,10
BGC0000927,Other,4
BGC0000929,Other,16
BGC0000930,Terpene,8
BGC0000932,Other,18
BGC0000933,Other,3
BGC0000934,Other,26
BGC0000935,Other,36
BGC0000936,Other,8
BGC0000937,Other,19
BGC0000938,Other,27
BGC0000939,Other,12
BGC0000940,Other,7
BGC0000941,Other,7
BGC0000942,Other,8
BGC0000943,Other,15
BGC0000944,Other,6
BGC0000945,Other,4
BGC0000946,Other,7
BGC0000947,Other,13
BGC0000948,Other,3
BGC0000949,NRP,41
BGC0000950,NRP,23
BGC0000951,NRP,20
BGC0000953,Saccharide,26
BGC0000954,NRP,110
BGC0000955,NRP,29
BGC0000956,NRP,20
BGC0000957,NRP,39
BGC0000958,NRP,29
BGC0000959,NRP,20
BGC0000960,NRP,67
BGC0000961,NRP,40
BGC0000962,NRP,27
BGC0000963,NRP,77
BGC0000964,NRP,43
BGC0000965,Polyketide,65
BGC0000966,NRP,39
BGC0000967,NRP,194
BGC0000968,NRP,19
BGC0000969,NRP,58
BGC0000970,NRP,56
BGC0000971,NRP,31
BGC0000972,NRP,68
BGC0000973,NRP,46
BGC0000974,NRP,64
BGC0000975,NRP,47
BGC0000976,NRP,87
BGC0000977,NRP,16
BGC0000978,NRP,44
BGC0000979,NRP,8
BGC0000980,NRP,8
BGC0000981,NRP,53
BGC0000982,NRP,60
BGC0000983,NRP,24
BGC0000984,NRP,63
BGC0000985,NRP,63
