ProteinID,ChrID,Product,Start_Position,End_Position,Strand,Domain_Name,Domain_ID,E_Value,C_EValue,I_EValue,HMM_Coord_From,HMM_Coord_To,Ali_Coord_From,Ali_Coord_To,Env_Coord_From,Env_Coord_To,Accuracy
WP_204355916.1,NZ_CP021644.1,chromosomal replication initiator protein DnaA,62,1408,+,Bac_DnaA,PF00308.21,7.3e-92,2.1e-95,1.4e-91,1,218,112,330,112,331,0.98
WP_204355916.1,NZ_CP021644.1,chromosomal replication initiator protein DnaA,62,1408,+,Bac_DnaA_C,PF08299.14,1e-33,3.9e-37,2.6e-33,1,69,357,425,357,425,0.99
WP_204355916.1,NZ_CP021644.1,chromosomal replication initiator protein DnaA,62,1408,+,DnaA_N,PF11638.11,2.6e-15,1e-18,6.6e-15,2,62,7,66,6,68,0.92
WP_005711096.1,NZ_CP021644.1,DNA polymerase III subunit beta,1418,2521,+,DNA_pol3_beta_2,PF02767.19,1.2e-44,6.4e-08,0.00042,2,110,5,112,4,119,0.81
WP_005711096.1,NZ_CP021644.1,DNA polymerase III subunit beta,1418,2521,+,DNA_pol3_beta_2,PF02767.19,1.2e-44,3e-41,2e-37,1,116,130,244,130,244,0.98
WP_005711096.1,NZ_CP021644.1,DNA polymerase III subunit beta,1418,2521,+,DNA_pol3_beta_2,PF02767.19,1.2e-44,0.82,5.4e+03,29,43,281,295,263,306,0.66
WP_005711096.1,NZ_CP021644.1,DNA polymerase III subunit beta,1418,2521,+,DNA_pol3_beta,PF00712.22,1.5e-44,3e-41,2e-37,1,120,1,120,1,121,0.97
WP_005711096.1,NZ_CP021644.1,DNA polymerase III subunit beta,1418,2521,+,DNA_pol3_beta,PF00712.22,1.5e-44,5.6e-06,0.036,2,100,128,227,127,239,0.91
WP_005711096.1,NZ_CP021644.1,DNA polymerase III subunit beta,1418,2521,+,DNA_pol3_beta,PF00712.22,1.5e-44,0.00052,3.4,31,104,280,355,261,365,0.83
WP_005711096.1,NZ_CP021644.1,DNA polymerase III subunit beta,1418,2521,+,DNA_pol3_beta_3,PF02768.18,1.1e-40,0.21,1.4e+03,36,58,32,54,21,106,0.69
WP_005711096.1,NZ_CP021644.1,DNA polymerase III subunit beta,1418,2521,+,DNA_pol3_beta_3,PF02768.18,1.1e-40,0.06,3.9e+02,21,49,200,227,193,231,0.83
WP_005711096.1,NZ_CP021644.1,DNA polymerase III subunit beta,1418,2521,+,DNA_pol3_beta_3,PF02768.18,1.1e-40,1.1e-43,7e-40,1,121,246,366,246,366,0.99
WP_005711095.1,NZ_CP021644.1,YggT family protein,2553,3086,+,YGGT,PF02325.20,1.3e-28,1.7e-17,3.3e-13,2,68,10,78,9,80,0.92
WP_005711095.1,NZ_CP021644.1,YggT family protein,2553,3086,+,YGGT,PF02325.20,1.3e-28,0.12,2.3e+03,49,67,80,98,75,100,0.79
WP_005711095.1,NZ_CP021644.1,YggT family protein,2553,3086,+,YGGT,PF02325.20,1.3e-28,2e-19,3.9e-15,2,68,98,165,97,166,0.88
WP_005711093.1,NZ_CP021644.1,DUF167 family protein YggU,3086,3379,+,DUF167,PF02594.19,1.4e-24,8.3e-29,1.6e-24,1,74,12,83,12,84,0.96
WP_005711091.1,NZ_CP021644.1,cytochrome c biogenesis protein CcsA,3475,4254,+,Cytochrom_C_asm,PF01578.23,2.6e-29,2e-33,3.9e-29,4,208,38,258,35,259,0.96
WP_010786428.1,NZ_CP021644.1,HlyC/CorC family transporter,4346,5608,+,CNNM,PF01595.23,2.4e-49,3.9e-53,3.9e-49,3,170,13,179,11,186,0.97
WP_010786428.1,NZ_CP021644.1,HlyC/CorC family transporter,4346,5608,+,CorC_HlyC,PF03471.20,2.7e-17,0.11,1.1e+03,37,77,174,207,149,211,0.67
WP_010786428.1,NZ_CP021644.1,HlyC/CorC family transporter,4346,5608,+,CorC_HlyC,PF03471.20,2.7e-17,2.1e-20,2.1e-16,3,79,343,417,341,419,0.94
WP_005711087.1,NZ_CP021644.1,signal recognition particle protein,6001,7392,-,SRP54,PF00448.25,1.7e-76,4.5e-80,2.9e-76,1,196,100,296,100,296,0.99
WP_005711087.1,NZ_CP021644.1,signal recognition particle protein,6001,7392,-,SRP_SPB,PF02978.22,3.4e-32,1.7,1.1e+04,59,77,19,37,8,57,0.59
WP_005711087.1,NZ_CP021644.1,signal recognition particle protein,6001,7392,-,SRP_SPB,PF02978.22,3.4e-32,0.52,3.4e+03,22,68,217,236,196,243,0.54
WP_005711087.1,NZ_CP021644.1,signal recognition particle protein,6001,7392,-,SRP_SPB,PF02978.22,3.4e-32,1.4,9.3e+03,14,33,294,313,289,325,0.50
WP_005711087.1,NZ_CP021644.1,signal recognition particle protein,6001,7392,-,SRP_SPB,PF02978.22,3.4e-32,5.2e-36,3.4e-32,2,101,329,427,328,427,0.94
WP_005711087.1,NZ_CP021644.1,signal recognition particle protein,6001,7392,-,SRP_SPB,PF02978.22,3.4e-32,1.7,1.1e+04,18,34,433,446,428,453,0.57
WP_005711087.1,NZ_CP021644.1,signal recognition particle protein,6001,7392,-,SRP54_N,PF02881.22,6e-21,9.2e-25,6e-21,1,75,5,82,5,82,0.96
WP_005711087.1,NZ_CP021644.1,signal recognition particle protein,6001,7392,-,SRP54_N,PF02881.22,6e-21,0.68,4.5e+03,15,36,323,340,314,342,0.68
WP_005711085.1,NZ_CP021644.1,FMN-binding protein MioC,7757,8200,+,Flavodoxin_1,PF00258.28,4.4e-25,2.5e-29,5e-25,1,142,7,138,7,139,0.88
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,Collagen,PF01391.21,2.3e-128,4.8,1.9e+04,49,58,927,936,925,938,0.23
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,Collagen,PF01391.21,2.3e-128,3.5e-11,1.4e-07,3,57,997,1051,996,1052,0.52
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,Collagen,PF01391.21,2.3e-128,5,2e+04,59,59,1137,1137,1031,1255,0.65
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,Collagen,PF01391.21,2.3e-128,5,2e+04,2,58,1362,1418,1220,1519,0.82
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,Collagen,PF01391.21,2.3e-128,5,2e+04,19,57,1622,1660,1472,1817,0.82
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,Collagen,PF01391.21,2.3e-128,5.9e-12,2.3e-08,1,56,1790,1845,1790,1852,0.81
WP_162627877.1,NZ_CP021644.1,ESPR-type extended signal peptide-containing protein,9212,15784,+,YadA_head,PF05658.17,4.4e-45,7.7e-06,0.03,5,27,104,126,101,126,0.95
