cluster_id,label,tsne1,tsne2
BGC0000001,polyketide,44.02567,-23.742325
BGC0000002,polyketide,62.18067,-36.723778
BGC0000003,polyketide,14.141836,-29.10501
BGC0000004,polyketide,-6.4128146,-55.305775
BGC0000006,polyketide,-6.4179134,-55.30286
BGC0000007,polyketide,-6.3763266,-54.742413
BGC0000008,polyketide,-6.7113633,-55.12384
BGC0000009,polyketide,-6.173545,-54.6672
BGC0000010,polyketide,-6.7435336,-54.394817
BGC0000011,polyketide,-5.6166997,-54.822792
BGC0000012,polyketide,20.287935,-36.20713
BGC0000013,polyketide,8.98615,-59.33358
BGC0000014,polyketide,53.372143,-20.869308
BGC0000016,other,10.695089,8.392388
BGC0000017,polyketide,43.463715,-7.4449663
BGC0000018,polyketide,47.308422,-13.402397
BGC0000019,polyketide,-37.5979,-2.9025958
BGC0000020,polyketide,42.81841,-25.292322
BGC0000021,polyketide,60.26527,-36.71972
BGC0000022,polyketide,7.2910357,-47.333252
BGC0000023,polyketide,45.95121,-13.874907
BGC0000024,polyketide,41.216957,-14.049757
BGC0000025,polyketide,-41.814106,-8.464016
BGC0000026,saccharide,-36.288837,-0.10846096
BGC0000027,polyketide,-7.0959263,-56.336197
BGC0000028,polyketide,55.869507,-27.164356
BGC0000029,polyketide,50.237255,-39.05852
BGC0000030,polyketide,6.725458,-57.6197
BGC0000031,polyketide,37.700855,-26.350163
BGC0000032,polyketide,45.646587,-20.901781
BGC0000033,polyketide,-42.03624,2.0953703
BGC0000034,nrp,62.17128,-34.865044
BGC0000035,polyketide,42.6947,-22.609215
BGC0000036,polyketide,55.736355,-36.73005
BGC0000037,polyketide,2.3872116,-47.74634
BGC0000038,polyketide,46.91166,-37.352962
BGC0000039,polyketide,15.036019,-46.10449
BGC0000040,polyketide,59.52402,-35.286713
BGC0000041,polyketide,27.442205,-31.35683
BGC0000042,polyketide,51.40005,-28.974857
BGC0000043,polyketide,41.057964,-10.577672
BGC0000044,polyketide,46.018833,-10.038604
BGC0000045,polyketide,9.14038,-53.394222
BGC0000046,polyketide,22.054977,-25.260078
BGC0000047,polyketide,42.312096,-21.594976
BGC0000048,polyketide,2.0438871,-53.816257
BGC0000050,polyketide,46.47937,-13.766045
BGC0000051,polyketide,57.412483,-24.101261
BGC0000052,polyketide,63.870464,-34.303955
BGC0000053,polyketide,51.22251,-32.608635
BGC0000054,polyketide,40.697895,-23.245651
BGC0000055,polyketide,40.48411,-21.612026
BGC0000056,polyketide,25.910686,-34.739323
BGC0000057,polyketide,10.110435,-52.576202
BGC0000058,polyketide,58.380955,-27.55354
BGC0000059,polyketide,54.8357,-33.932827
BGC0000060,polyketide,52.90927,-31.956314
BGC0000062,polyketide,13.253943,-1.367554
BGC0000063,polyketide,13.254593,-1.3609769
BGC0000064,nrp,19.139652,-29.980455
BGC0000065,polyketide,-9.101331,-0.9047964
BGC0000066,polyketide,50.133907,-27.384682
BGC0000067,polyketide,57.568348,-24.194416
BGC0000068,polyketide,31.323908,-22.933262
BGC0000069,polyketide,43.47074,-2.4311564
BGC0000070,polyketide,-0.4670993,-53.77063
BGC0000072,polyketide,45.958923,-12.460764
BGC0000073,polyketide,60.7161,-29.905272
BGC0000074,polyketide,49.89887,-27.289337
BGC0000075,polyketide,47.519207,-34.008286
BGC0000076,polyketide,7.114426,-53.477295
BGC0000077,polyketide,6.837584,-52.87509
BGC0000078,polyketide,43.018368,-28.958548
BGC0000079,polyketide,54.79098,-30.26124
BGC0000080,polyketide,53.388206,-20.886732
BGC0000081,nrp,-42.48458,1.1729443
BGC0000082,polyketide,44.081997,-27.596298
BGC0000083,polyketide,51.012978,-2.696171
BGC0000084,polyketide,57.979233,-36.657608
BGC0000085,polyketide,40.437115,-23.388056
BGC0000086,polyketide,55.267914,-29.556736
BGC0000087,polyketide,59.368782,-38.344715
BGC0000088,polyketide,15.156635,-46.717113
BGC0000090,polyketide,50.197857,-27.554302
BGC0000091,polyketide,16.431135,-8.506684
BGC0000092,polyketide,40.486427,-21.161953
BGC0000093,polyketide,62.5653,-40.31433
BGC0000094,polyketide,47.81825,-13.268618
BGC0000096,polyketide,48.08516,-35.22222
BGC0000097,polyketide,51.51659,-38.68827
BGC0000098,polyketide,15.045337,-46.103996
BGC0000099,polyketide,2.646247,-48.074932
BGC0000100,polyketide,57.952126,-35.470024
BGC0000102,polyketide,41.60565,-20.58612
BGC0000103,polyketide,61.84397,-29.19019
BGC0000104,polyketide,1.0503306,-46.56534
BGC0000105,polyketide,58.26445,-32.33174
BGC0000106,polyketide,48.847557,-29.640284
BGC0000107,polyketide,9.845935,-58.910725
BGC0000108,polyketide,53.706326,-33.280006
BGC0000109,polyketide,59.087936,-28.692242
BGC0000110,polyketide,41.276154,-14.06819
BGC0000111,polyketide,39.253365,-8.433839
BGC0000112,polyketide,-40.723637,0.67649513
BGC0000113,polyketide,47.1577,-15.523989
BGC0000114,polyketide,57.33791,-33.734344
BGC0000115,polyketide,60.9165,-34.79286
BGC0000116,polyketide,61.107506,-34.42298
BGC0000117,polyketide,59.175972,-33.25854
BGC0000118,polyketide,-28.68749,6.0447683
BGC0000119,polyketide,-28.398184,6.0328474
BGC0000120,polyketide,6.5153327,-43.734154
BGC0000121,polyketide,-0.15537561,-57.382507
BGC0000122,polyketide,45.4673,-11.195085
BGC0000123,polyketide,50.933975,-31.340855
BGC0000124,polyketide,55.62587,-23.786552
BGC0000125,polyketide,54.53334,-32.443417
BGC0000126,polyketide,59.001698,-26.669153
BGC0000127,polyketide,7.8050904,-2.6700027
BGC0000128,polyketide,8.322403,-2.3803458
BGC0000129,polyketide,7.9722953,-39.345715
BGC0000130,polyketide,5.7052703,-3.0467534
BGC0000131,polyketide,4.2942104,-2.4097443
BGC0000132,polyketide,15.610108,-26.722185
BGC0000133,polyketide,44.066864,-24.61391
BGC0000134,polyketide,8.26355,-54.129356
BGC0000135,polyketide,52.021206,-28.22023
BGC0000136,polyketide,44.79255,-30.880552
BGC0000137,polyketide,47.24513,-29.246164
BGC0000138,polyketide,10.275643,-23.048468
BGC0000140,polyketide,-5.7524414,-42.68005
BGC0000141,polyketide,42.043636,-30.5709
BGC0000142,polyketide,52.425137,-35.6588
BGC0000143,polyketide,51.99097,-31.036219
BGC0000144,polyketide,59.787014,-37.846405
BGC0000145,nrp,-6.3675494,1.9607061
BGC0000146,polyketide,19.066692,-36.456055
BGC0000147,polyketide,57.19781,-29.997347
BGC0000148,polyketide,53.284718,-30.14271
BGC0000149,polyketide,60.220352,-29.87422
BGC0000150,nrp,-40.767147,1.5231498
BGC0000151,polyketide,63.147827,-33.809303
BGC0000152,polyketide,-5.502247,-55.45172
BGC0000153,nrp,44.319202,-15.223426
BGC0000154,polyketide,4.7130218,-45.984398
BGC0000156,polyketide,8.357857,-58.74602
BGC0000157,polyketide,48.771774,-19.500122
BGC0000158,polyketide,48.831955,-19.722355
BGC0000159,polyketide,52.73164,-27.821154
BGC0000160,polyketide,15.166536,-36.08634
BGC0000161,polyketide,0.1540675,-60.843155
BGC0000162,polyketide,44.13389,-27.197298
BGC0000163,polyketide,57.294216,-37.76619
BGC0000164,polyketide,55.38029,-37.831966
BGC0000165,polyketide,47.73708,-31.437603
BGC0000166,polyketide,46.9431,-15.227316
BGC0000167,polyketide,49.38288,-35.315933
BGC0000168,polyketide,3.0885193,-35.090565
BGC0000170,polyketide,7.0521655,-38.82711
BGC0000171,polyketide,48.340336,-7.068214
BGC0000172,polyketide,47.07525,-6.423706
BGC0000173,polyketide,55.115578,-1.304833
BGC0000174,polyketide,54.767376,0.054836806
BGC0000175,polyketide,47.665806,-6.3374166
BGC0000176,polyketide,55.801044,-1.2822409
BGC0000177,polyketide,50.702915,-4.6344376
BGC0000178,polyketide,56.522556,-1.6512437
BGC0000179,polyketide,58.365135,-0.0036277673
BGC0000180,polyketide,49.50636,-1.9257139
BGC0000181,polyketide,51.992867,-9.330055
BGC0000182,polyketide,57.31311,-6.5825524
BGC0000184,polyketide,59.34033,-0.07559297
BGC0000185,polyketide,51.355183,-1.9813622
BGC0000186,nrp,58.02137,-2.610754
BGC0000187,polyketide,-24.99994,2.536737
BGC0000188,alkaloid,-5.647309,7.033501
BGC0000189,polyketide,-3.0692308,-8.733514
BGC0000190,polyketide,-27.230873,-17.413212
BGC0000191,polyketide,-36.68791,-6.2410917
BGC0000192,polyketide,-37.006126,-6.850157
BGC0000193,polyketide,-37.76093,-5.025861
BGC0000194,polyketide,-23.270432,-7.7365646
BGC0000195,polyketide,-22.57876,-7.4153075
BGC0000196,polyketide,-7.9480276,-4.0858045
BGC0000197,polyketide,-30.181845,-8.746633
BGC0000198,polyketide,-33.779587,-6.912735
BGC0000199,polyketide,-36.301388,-3.8765218
BGC0000200,polyketide,-27.517801,-15.864392
BGC0000201,polyketide,-33.336185,-11.859944
BGC0000202,polyketide,-24.57711,-5.8241067
BGC0000203,polyketide,-29.1793,-1.4345936
BGC0000204,polyketide,-28.98692,-19.064774
BGC0000205,polyketide,-6.6488395,-10.025563
BGC0000207,polyketide,-16.655088,1.5422891
BGC0000208,polyketide,-23.815,-14.078754
BGC0000209,polyketide,-24.044907,-13.4486885
BGC0000210,polyketide,-34.718327,-5.210571
BGC0000211,polyketide,-27.138311,-9.724728
BGC0000212,polyketide,-36.286156,-5.504869
BGC0000213,polyketide,-10.165733,1.713883
BGC0000214,polyketide,-35.797695,-7.4344883
BGC0000215,polyketide,-31.00029,-19.94164
BGC0000216,polyketide,-32.334747,-5.7128196
BGC0000217,polyketide,-35.549305,-21.333069
BGC0000218,polyketide,-35.546722,-21.302204
BGC0000219,polyketide,-26.07742,-10.831776
BGC0000220,polyketide,-5.400992,-4.636783
BGC0000221,polyketide,-21.755915,-9.983307
BGC0000222,polyketide,-30.864496,-7.3276987
BGC0000223,polyketide,-27.011326,-6.685141
BGC0000224,polyketide,-27.173882,-17.401035
BGC0000225,polyketide,-19.014317,-7.9408555
